"EBBW VALE (IRON WORKS)",,,,,,,,,,,,
Grid ref,SO172098,Long,-3.201640,Lat,51.780715,,,,,,,
Station no,4008,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.27,5.81,1.42,3.53,5.09,7.06,5.66,5.14,7.09,6.82,,
February,7.25,1.07,2.34,5.41,2.62,0.48,7.35,7.45,0.43,7.02,,
March,5.87,3.43,3.45,5.18,3.70,2.33,5.04,1.62,6.03,3.73,,
April,4.69,4.44,4.71,0.91,1.90,2.24,0.16,1.28,6.43,4.72,,
May,4.05,4.85,3.30,3.39,6.25,1.62,2.65,4.59,2.00,2.54,,
June,1.49,2.96,2.38,7.01,4.86,3.95,1.05,3.38,2.14,2.53,,
July,1.51,2.67,5.88,3.23,0.33,5.49,4.36,4.27,4.75,5.17,,
August,6.43,9.76,6.24,5.15,0.93,6.09,4.36,4.98,1.33,5.04,,
September,4.87,4.02,5.37,6.41,2.40,6.65,7.37,8.86,0.19,6.83,,
October,1.32,7.61,4.55,8.60,3.73,1.78,3.73,6.29,5.68,11.42,,
November,12.37,4.91,4.55,12.72,7.36,1.61,2.70,2.50,9.02,12.15,,
December,6.39,4.70,1.74,4.87,8.38,8.82,5.47,5.23,15.99,6.44,,
Total,62.51,56.23,45.93,66.41,47.55,48.12,49.90,55.59,61.08,74.41,,
Calc annual,62.51,56.23,45.93,66.41,47.55,48.12,49.90,55.59,61.08,74.41,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
