LIMERICK - REBOGUE ENGINE STATION (Daily gauge),,,,,,,,,,,,,,,,,,,
Grid ref,IR598577,Long,-8.595,Lat,52.669,Elevation,15,ft,,,,,,,,,,,
Station no,RR2378,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,1.75,3.83,3.19,2.21,4.52,4.77,2.00,2.91,4.23,3.80,4.60,5.01,5.33,2.71,5.37,1.21,3.72,3.20,2.39
February,2.40,1.48,1.42,1.58,3.75,3.36,3.37,2.20,2.96,2.19,2.61,2.89,0.65,1.92,1.11,4.05,2.50,1.22,4.84
March,4.95,3.15,3.36,2.67,3.29,2.80,2.09,3.33,3.03,2.24,,2.19,3.85,1.58,1.11,3.97,2.56,1.66,1.05
April,0.70,3.04,1.63,1.10,1.30,1.48,3.48,2.34,3.21,1.67,4.16,1.53,2.41,1.71,1.65,3.50,3.15,2.95,1.27
May,0.42,4.73,1.81,1.52,4.11,1.61,2.97,2.15,3.52,2.56,0.79,1.28,1.92,1.54,1.72,0.77,1.96,2.69,2.33
June,3.76,2.75,2.22,2.86,1.19,4.04,2.20,1.65,1.04,0.94,3.22,,2.03,1.14,4.34,1.26,3.36,6.61,5.40
July,9.20,3.36,0.68,0.84,5.03,2.15,2.10,1.04,1.46,0.88,4.59,2.72,,3.18,2.57,1.27,1.15,1.96,3.24
August,6.87,2.35,4.13,1.46,4.48,3.86,3.46,6.30,1.58,2.42,2.04,2.74,5.36,5.61,3.42,3.47,4.44,4.15,5.17
September,7.45,1.85,3.74,3.85,0.46,4.19,2.45,2.19,5.15,3.38,1.94,3.55,,3.74,6.38,3.70,2.30,2.75,
October,2.97,4.52,4.90,1.78,4.65,1.82,5.29,4.30,2.20,6.82,3.50,4.60,5.61,4.14,4.27,2.83,4.22,3.49,
November,3.03,2.49,5.83,4.79,4.57,2.07,0.76,2.16,3.79,1.93,1.59,3.74,,3.63,3.51,3.34,5.67,1.53,
December,2.20,2.79,3.38,1.89,2.94,5.12,1.82,5.89,4.26,2.74,2.05,5.42,,4.89,1.54,4.50,3.95,1.97,
Total,45.70,36.34,36.29,26.55,40.29,37.27,31.99,36.46,36.43,31.57,,,,35.79,36.99,33.87,38.98,34.18,
,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_08_pt2/028,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_13_pt1/059,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# The following readings are shown as estimates and have been omitted:,,,,,,,,,,,,,,,,,,,
# March 1871,,,,,,,,,,,,,,,,,,,
# June 1872,,,,,,,,,,,,,,,,,,,
"# July, September, November and December 1873",,,,,,,,,,,,,,,,,,,
# September - December 1879 (after readings at the site had ended),,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# Several readings for 1861 are identical to those for a separate Limerick site (Reverand Wayne).,,,,,,,,,,,,,,,,,,,
# It is not clear which site is the source and which the copy; the readings have been retained.,,,,,,,,,,,,,,,,,,,
