HUNTERS HILL NR HALIFAX,,,,,,,,,,,,,,,,,,,,
Grid ref,SE050295,Long,-1.925,Lat,53.7623,Elevation,1250,ft,,,,,,,,,,,,
Station no,RR1869,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,4.36,5.4,-999,3.5,1.9,0.9,4,4,1.8,,,,,,,,
February,,,,0.86,1.55,-999,3.3,2.1,2.3,3,2.5,4.6,,,,,,,,
March,,,,0.86,1.15,2.16,0.5,2.6,2.8,7.2,3.8,5.1,,,,,,,,
April,,,,2.01,0.81,1.5,3.6,4.7,3,5.7,3.1,0.9,,,,,,,,
May,,,,-999,2.07,2.3,4.1,2.1,4,0.4,4.6,0,,,,,,,,
June,,,,-999,3.2,3.9,2.8,2.8,3.8,2,6.3,1,,,,,,,,
July,,,,,3.56,4.6,2.7,4,2.5,3.1,1.8,4.3,,,,,,,,
August,,,,,1.58,2.7,5.6,4.6,2.9,5.7,4.8,1.8,,,,,,,,
September,,,3.68,,2.75,1,5.3,2.8,5.1,5.8,2,4.7,,,,,,,,
October,,,5.92,,2.34,5.8,2.9,2.3,4.8,1.9,4.9,0.5,,,,,,,,
November,,,6.27,,4.67,0.9,-999,2.1,1.6,3.2,2.9,6.1,,,,,,,,
December,,,6.44,,7.73,1.7,-999,3.5,4.2,6.5,1.6,1.9,,,,,,,,
Total,,,,,36.81,31.48,44.4,35.5,37.9,48.5,42.3,32.7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1853 May/Jun=7.44,,,,,,,,,,,,,,,,,,,,
1855 Jan/Feb=4.92,,,,,,,,,,,,,,,,,,,,
1856 Nov/Dec=10.1,,,,,,,,,,,,,,,,,,,,
"NGR at Hunter Hill Top, right elevation; no other info on records regarding location",,,,,,,,,,,,,,,,,,,,
