KERRY-THE-FOREST,,,,,,,,,,
Grid ref,SO131894,Long,-3.2814325,Lat,52.495559,Elevation,700,ft.,,
Station no,4248/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.96,2.2,3.7,2.98,5.9
February,,,,,,0.5,3.24,4.85,0.38,3.69
March,,,,,,1.62,2.37,1.37,2.68,2
April,,,,,,1.85,0.13,0.62,4.75,2.77
May,,,,,,0.84,1.6,2.79,3.04,1.12
June,,,,,,1.59,2.46,3.57,2.47,2.69
July,,,,,,2.92,4.51,4.52,3.01,2.56
August,,,,,,3.63,7.47,2.51,0.27,6.42
September,,,,,,4.21,6.43,7.01,0.04,4.13
October,,,,,,1.73,2.75,3.33,3.33,6.5
November,,,,,,1.57,3.34,,4.5,6.42
December,,,,,,3.35,2.97,,6.74,5.09
Total,,,,,,28.77,39.47,,34.19,49.29
,,,,,,,,,,
NGR is a house called Forest. Altitudes match.,,,,,,,,,,
MIDAS src_id 9692 ends 1982,,,,,,,,,,
