CRICKHOWELL-CWMDU-SCHOOL-HOUSE,,,,,,,,,,
Grid ref,SO179233,Long,-3.1947046,Lat,51.90217,Elevation,425,ft.,,
Station no,4195,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,1.39,,,,
April,,,,,,1.41,4.22,,,
May,,,,,,4.53,2.91,,,
June,,,,,,2.65,2.26,,,
July,,,,,,,1.66,,,
August,,,,,,,0.39,,,
September,,,,,,5.78,2.15,,,
October,,,,,,1.37,0.73,,,
November,,,,,0.44,8.68,3.86,,,
December,,,,,7.23,4.05,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NGR is the school about 300 yards S of the Rectory as noted in the 1940s record. Altitude from OS map. Note says to be considered as same station as rectory,,,,,,,,,,
