CATERHAM-DOME-HILL-PEAK,,,,,,,,,,
Grid ref,TQ331543,Long,-0.09334,Lat,51.272314,Elevation,650,ft,,
Station no,76/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.66,3.14,3.45,3.01
February,,,,,,,3.82,2.63,0.11,2.4
March,,,,,,,1.57,1.95,2.24,2.03
April,,,,,,,0.22,1.57,2.43,0.92
May,,,,,,,1.79,2.29,0.81,1.7
June,,,,,,,1.35,4.63,1.76,1.42
July,,,,,,,3.44,1.7,0.92,3.58
August,,,,,,,2.58,3.32,0.94,2.81
September,,,,,,,3.15,6.19,0.17,4.06
October,,,,,,,2.07,3.94,3.12,7.14
November,,,,,,,2.83,2.38,3.23,5.79
December,,,,,,,2.83,3.56,5.54,3.71
Total,,,,,,,27.31,37.3,24.72,38.57
,,,,,,,,,,
1957 Gauge moved from Stn 100/5,,,,,,,,,,
House unknown NGR from sheet matches elevation,,,,,,,,,,
,,,,,,,,,,
SRC_ID 6617,,,,,,,,,,
1957-1967,,,,,,,,,,
