WYTHBURN (second gauge),,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY324131,Long,-3.0451,Lat,54.5089,Elevation,574,ft,,,,,,,,,,,,,,,,,
Station no,3632,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,,,,,,,,,,,,
January,,,,,,,,,,2.96,,,,,,,,,,,,,,,
February,,,,,,,,,,6.96,,,,,,,,,,,,,,,
March,,,,,,,,,,8.06,,,,,,,,,,,,,,,
April,,,,,,,,,,3.38,,,,,,,,,,,,,,,
May,,,,,,,,,,2.28,,,,,,,,,,,,,,,
June,,,,,,,,,4.11,8.33,,,,,,,,,,,,,,,
July,,,,,,,,,1.24,11.36,,,,,,,,,,,,,,,
August,,,,,,,,,7.48,10.29,,,,,,,,,,,,,,,
September,,,,,,,,,10.73,10.69,,,,,,,,,,,,,,,
October,,,,,,,,,12.04,5.8,,,,,,,,,,,,,,,
November,,,,,,,,,4.42,2.36,,,,,,,,,,,,,,,
December,,,,,,,,,4.64,7.62,,,,,,,,,,,,,,,
Total,,,,,,,,,,80.09,,,,,,,,,,,,,,,
