LLANDOVERY-SERVICE-RES,,,,,,,,,,
Grid ref,SN769351,Long,-3.794594,Lat,52.000652,Elevation,307,ft.,,
Station no,4106/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.61,,,4.54,7.1,4.73,4.61,5.41
February,,,2.09,,,0.56,4.18,4.64,0.42,3.59
March,,,3.31,,,2.26,3.9,0.98,3.71,1.55
April,,,3.23,,,1.21,0.46,1.4,3.28,2.55
May,,,2.62,,,1.63,2.39,3.95,1.55,1.91
June,,,1.35,,,2.44,2.06,2.17,2.44,2.54
July,,,4.57,,,2.84,4.43,5.48,4.38,4.05
August,,,4.44,,,6.5,4.72,3.06,0.69,5.13
September,,,5.49,,,3.6,7.96,8.27,0.9,4.99
October,,,3.93,,,2.82,4.56,4.94,3.19,3.66
November,,,3.79,,,2.09,1.87,3.3,6,7.47
December,,,1.5,,,4.18,3.2,3.76,7.12,5.32
Total,,,37.93,,,34.67,46.83,46.68,38.29,48.17
,,,,,,,,,,
MIDAS src_id 11121 LLANDOVERY P STA Start 1953 and is still current,,,,,,,,,,
NGR is a reservoir north of Llandovery adjacent to church as noted on the record. Altitudes match. Met Office location for 11121 LLANDOVERY P STA is 500m WNW with a different altitude. MIDAS start date matches; not sure if this is the predecessor to 11121 Llandovery Pumping Station but no other record fits but the gauge may have moved.,,,,,,,,,,
1956 readings have a note about wrong day and 1958 states no Sunday reading. Not sure what this means and readings left in this record,,,,,,,,,,
