TRESCO ABBEY (new gauage 1860s),,,,,,,,,,,,
Grid ref,SV896143,Long,-6.328395,Lat,49.948027,Elevation,40,ft,,,,
Station no,1953,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,6.06,4.9,3.61,,,,
February,,,,,,4.17,4.76,0.69,,,,
March,,,,,,3.44,3.34,,,,,
April,,,,,,1.3,,,,,,
May,,,,,,2.86,,,,,,
June,,,,,,0.73,,,,,,
July,,,,,,2.82,,,,,,
August,,,,,,4.5,,,,,,
September,,,,,,0.06,,,,,,
October,,,,,2.81,5.1,,,,,,
November,,,,,2.75,4.21,,,,,,
December,,,,,3.83,4.58,,,,,,
Total,,,,,,39.83,,,,,,
