TRESCO ABBEY (lower gauge),,,,,,,,,,,,
Grid ref,SV896143,Long,-6.328395,Lat,49.948027,Elevation,40,ft,,,,
Station no,1953,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,5.33,0.96,4.05,2.84,2.78,6.43,4.95,5.84,3.97,5.35,,
February,1.26,4.37,1.39,0.58,1.47,4.43,4.82,1.57,1.49,2.62,,
March,2.52,2.49,4.28,3.35,1.97,3.51,3.73,4.35,1.6,3.37,,
April,1.39,1.45,1.89,0.85,1.43,1.36,,2.02,2.42,0.97,,
May,2.08,0.79,1.87,1.79,2.48,2.86,,2.58,1.19,3.88,,
June,3.33,2.44,3.21,2.34,2.36,0.76,,0.44,1.13,0.22,,
July,1.17,4.33,2.59,2.09,0.4,2.89,,5,0.7,0.56,,
August,4.23,1.33,2.19,2.47,1.97,4.53,,0.62,1.78,0.39,,
September,2.51,2.49,3.55,2.15,2.88,0.06,,1.5,2.87,3.7,,
October,3.03,1.16,5.6,3.44,2.76,5.32,,2.37,2.31,1.38,,
November,4.1,4.85,2.6,2.44,2.81,4.25,,0.32,3.66,3.12,,
December,6.45,2.7,3.15,3.19,4.02,4.6,,2.2,6,4.49,,
Total,37.4,29.36,36.37,27.53,27.33,41,,28.81,29.12,30.05,,
