GREENOCK SHAWS W. W. EVERTON COTTAGE,,,,,,,,,,
Grid ref,NS 26645 74794,Long,-4.776793,Lat,55.934854,Elevation,472,ft,,
Station no,RR2791,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,7.6,7.15,,,,
February,,,,,7,3.4,,,,
March,,,,,7,3.1,,,,
April,,,,,3.2,1.4,,,,
May,,,,,2,4.8,,,,
June,,,,,5.2,1.2,,,,
July,,,,,3.6,3.05,,,,
August,,,,,2.4,7.6,,,,
September,,,,,8.3,2.25,,,,
October,,,,,4.1,7.7,,,,
November,,,,,8.15,6.05,,,,
December,,,,,6.7,8.5,,,,
Total,,,,,65.25,56.2,,,,
,,,,,,,,,,
TYRain_1850-1859_H_pt1-page-149.csv,,,,,,,,,,
Not used as blank,,,,,,,,,,
jpg has some info re downpours,,,,,,,,,,
see also GREENOCK-WW-MIX,,,,,,,,,,
