SOUTH-MOLTON-MESHAW,,,,,,,,,,,,,,,,,,,,
Grid ref,SS770193,Long,-3.7519,Lat,50.9605,Elevation,580,ft,,,,,,,,,,,,
Station no,RR2963,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,4.36,4.74,2.1,4.92,5.54,6.07,4.97,3.92,5.04,3.69,5.18,4.8,3.7,6.16,1.39,5.85,2.1,
February,,,0.94,1.7,1.98,4.52,5.51,4.37,3.05,3.83,2.31,3.12,4.54,3.43,2.98,2.05,4.59,2.93,1.97,
March,,,3.16,2.42,2.86,3.26,4.03,4.14,3.82,2.26,1.81,1.39,3.5,4,1.38,1.3,5.67,3.96,2.4,
April,,,3.67,2.1,1.82,0.67,2.29,4.76,3.17,1.42,0.52,4.51,2.85,1.57,2,1.71,3.66,4.81,3.8,
May,,,2.87,1.95,1.22,3.31,2.55,2.96,1.44,7.15,1.93,0.53,2.36,2.24,1.2,3.52,0.23,3.42,5.61,
June,,,4.42,5.46,3.03,2.36,2.55,1.33,0.33,0.4,0.77,2.35,3.94,1.68,1.6,3.88,1.2,1.1,3.13,
July,,5.03,4.45,0.75,1.16,3.77,2.45,5.39,0.86,0.7,1.04,6.12,6.34,3.83,2.83,3.48,0.95,4.84,1.81,
August,,2.41,2.86,3.45,2.07,7.57,4.74,1.79,5.26,1.12,2.08,1.25,2.07,6.84,4.39,3.29,3.62,5.52,5.77,
September,,2.2,4.57,5.24,4.08,0.24,8.47,2.13,5.29,6.11,1.39,5.4,4.56,2.74,6.83,4.29,7.62,2.78,2.71,
October,,1.5,8.1,6.07,2.54,5.46,2.49,5.65,4.34,3.77,7.14,5.09,6.86,3.52,4.01,8.66,2.67,2.95,,
November,,5.7,1.73,4.24,3.25,4.28,3.67,1.37,2.91,3.43,2.64,1.41,6.24,3.08,2.94,6.06,4.39,6.66,,
December,,1.88,3.89,3.29,3.38,3.73,5.82,3.75,7.52,4.57,2.08,2.74,5.61,0.99,6.16,1.48,9.31,3.07,,
Total,,,45.02,41.41,29.49,44.09,50.11,43.71,42.96,38.68,28.75,37.6,54.05,38.72,40.02,45.88,45.3,47.89,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This was the Rectory,,,,,,,,,,,,,,,,,,,,
1862 Max 1.16in on Oct 10th ,,,,,,,,,,,,,,,,,,,,
1869 Very little thunder or lightning during the summer,,,,,,,,,,,,,,,,,,,,
"1876 Dec 17th 1.63in fell, gauge only holds 1.75in",,,,,,,,,,,,,,,,,,,,
