CRANBROOK-SWATTENDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ772342,Long,0.528371,Lat,51.079758,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.14,6.58,1.39,2.79,0.34,1.53,1.22,2.51,2.84,2.54,4.51,2.04,0.85,0.96,2.73,2.8,0.59,2.62,3.4,2.98,0.84,2.73,0.67,2.37,3.59,1.03,1.17,2.57,4.9,1.22,4.22,1.26,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.47,2.26,1.54,4.24,2.96,2.28,1.66,3.78,1.49,3.5,0.55,0.6,1.88,2.29,1.24,0.02,1.96,4.32,1.75,0.38,0.37,2.53,1.25,2.45,5.66,1.95,1.52,1.73,3.14,0.84,2.71,1.62,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.77,2.71,1.68,0.82,0.79,2.1,1.39,1.43,1.66,1.75,1.46,1.76,3.7,1.83,2.53,2.21,1.52,0.39,1.44,1.88,2.62,4.43,1.92,0.85,1.26,1.79,1.48,2.95,1.63,3.63,1.72,0.9,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.7,2.82,4.27,3.21,1.58,0.79,3.32,1.49,1.27,2.36,1.78,1.7,1.84,2.5,2.53,0.7,1.61,0.04,2.28,2.11,0.5,1.98,0.91,2.85,1.22,2.21,0.84,2.22,0.95,2.57,1.01,3.44,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.81,2.07,4.83,3.19,0.17,0.95,1.33,2.58,0.57,2.8,2.84,2.08,1.13,1.25,1.74,3.04,0.36,0.84,1.67,0.15,0.35,1.12,3.83,2.44,0.98,1.07,2.45,3.54,2.33,1.66,2.39,2.61,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.7,1.13,2.6,2.96,4.45,3.01,2.08,2.03,1.08,1.38,0.5,0.82,2.15,0.65,2.25,1.65,3,0.66,1.94,0.13,3.69,1.68,2.41,1.19,2.3,1.74,2.42,4.11,1.26,4.77,1.66,1.61,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.8,2.2,2.01,3.03,3.06,1.54,3.76,1.92,2.56,0.46,2.14,0.33,6.45,3.15,2.94,3.01,2.1,2.88,5.56,4.08,0.91,0.54,0.68,1.23,1.03,2.36,1.46,4.03,1.05,1.38,1.02,1.2,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,1.87,2.69,2.69,3.63,3.67,1.09,3.99,1.8,0.72,0.92,0.64,1.91,2.72,1.74,2.45,3.59,4.57,4.17,1.16,2.35,2.09,2.21,3.27,1.6,0.94,2.39,1.68,4.16,3.27,1.07,3.47,0.77,2.24,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.93,3.01,1.13,1.36,2.92,3.39,3.04,3.53,3.39,5.53,4.1,1.07,2.79,1.08,1.71,1.61,0.5,2.33,2.65,4.08,0.59,7.03,2.64,0.7,2.77,0.92,0.64,0.68,3.02,1.14,3.18,1.73,0.7,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.59,1.41,3.15,2.84,0.83,7.2,3.34,7.21,2.94,1.43,4.41,3.59,1.58,1.95,6.14,1.06,5.99,6.02,4.1,3.89,3.1,5.72,0.15,2.55,2.63,2.07,2.19,2.35,5.68,2.24,2.36,4.9,5.29,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
