OLD BYLAND - The Grange,,,,,,,,
Grid ref,SE547856,Long,-1.162,Lat,54.263,Elevation,650,ft
Station no,RR7900,,,,,,,
,,,,,,,,
,1918,1919,1920,,,,,
January,,4.31,4.08,,,,,
February,,1.44,1.18,,,,,
March,,3.40,2.83,,,,,
April,,2.10,,,,,,
May,,0.99,,,,,,
June,,1.49,,,,,,
July,,3.07,,,,,,
August,,2.70,,,,,,
September,,1.79,,,,,,
October,1.80,5.88,,,,,,
November,1.89,3.01,,,,,,
December,4.56,4.29,,,,,,
Total,,34.47,,,,,,
,,,,,,,,
TYRain_1910-1919_21_pt1/027,,,,,,,,
TYRain_1920-1930_24_pt1/008,,,,,,,,
,,,,,,,,
# The gauge moved to Board Inn in April 1920.,,,,,,,,
