OLD BYLAND - Board Inn,,,,,,,,,,,
Grid ref,SE550859,Long,-1.157,Lat,54.266,Elevation,722,ft,,,
Station no,RR7901,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,3.24,4.06,2.27,,,,,,,
February,,0.17,3.14,6.89,,,,,,,
March,,1.78,2.70,2.19,,,,,,,
April,4.11,1.92,2.32,2.25,,,,,,,
May,2.76,2.09,1.00,3.13,,,,,,,
June,1.44,0.36,2.59,0.82,,,,,,,
July,5.95,1.46,5.15,3.16,,,,,,,
August,3.22,4.77,3.15,4.92,,,,,,,
September,1.57,1.67,2.94,3.65,,,,,,,
October,2.73,1.75,1.28,3.49,,,,,,,
November,1.55,2.31,1.69,3.48,,,,,,,
December,3.90,2.65,4.74,4.68,,,,,,,
Total,,24.17,34.76,40.93,,,,,,,
,,,,,,,,,,,
TYRain_1920-1930_24_pt1/008,,,,,,,,,,,
,,,,,,,,,,,
# The gauge was at the Grange before April 1920.,,,,,,,,,,,
