COULSDON-THE-CHASE,,,,,,,,,,,,,
Grid ref,TQ297602,Long,-0.13971,Lat,51.32634,Elevation,400,ft,,,,,
Station no,91,,,,,,,,,,,,
,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932
January,,,,,,,3.13,2.51,4.31,1.35,3.81,2.26,3.01
February,,,,,,,2.78,4.67,2.03,0.59,0.88,2.07,0.42
March,,,,,,,0.35,3.37,2.84,0.06,1.61,0.33,1.7
April,,,,,,,4.16,2.12,1.84,1.02,1.72,4.46,2.67
May,,,,,,,1.63,1.26,2.15,2.11,2.89,3.02,4.73
June,,,,,,,4.09,3.74,2.89,1.26,0.73,2.03,
July,,,,,,,1.96,2.86,1.83,1.92,2.35,2.75,
August,,,,,,,1.37,4.17,2.26,1.93,3.15,4.7,
September,,,,,,,1.63,5.1,0.7,0.12,3.73,2.07,
October,,,,,,,2.93,1.65,6.04,3.98,1.37,0.73,
November,,,,,,,6.22,2.85,2.66,7.66,4.73,3.4,
December,,,,,,,0.59,5.12,3.11,7.36,2.44,0.79,
Total,,,,,,,30.84,39.42,32.66,29.36,29.41,28.61,
,,,,,,,,,,,,,
Birch Fold The Chase,,,,,,,,,,,,,
1930 Gauge read at 9am winter and summer,,,,,,,,,,,,,
1932 June 1 Gauge moved 0.25 miles SW to Howard Road,,,,,,,,,,,,,
