CHELTENHAM-NORTHFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO984222,Long,-2.02466,Lat,51.898343,Elevation,637,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.69,2.66,1.15,0.67,2.17,3.35,2.81,2.41,3.87,2.44,0.68,0.87,3.3,2.03,1.08,1.54,1.42,2.73,0.83,1.81,0.6,2.73,2.74,0.92,0.65,2.77,2.69,0.77,3.91,0.94,1.26,0.62,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.36,2.86,4.53,2.37,2.1,4.7,2.14,3.95,0.76,1.01,1.32,1.35,0.84,0.66,1.31,2.3,1.92,0.14,0.5,2.64,1.46,2.73,5.16,1,0.75,0.95,3.49,0.91,1.17,1.03,0.75,0.51,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,0.84,1.14,0.73,2.58,1.78,1.56,2.14,1.08,2.47,1.25,3.68,3.88,1.2,1.41,0.65,0.14,1.02,2.33,2.58,3.16,0.63,0.48,0.83,1.99,1.34,3,1.46,3.43,1.19,0.6,2.36,2.4,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.99,2.69,2.51,0.69,4.26,1.11,1.58,2.33,2.5,1.96,2.14,3.81,1,0.89,0.7,0.05,2.52,2.1,0.77,1.05,1.92,1.85,0.73,2.58,2.06,2.78,1.18,2.42,0.86,3.07,2.01,1.64,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,5.76,3.16,1.01,0.93,2.23,1.73,1.07,2.54,4.11,1.75,1.83,3.52,1.98,3.76,0.59,1.19,2.01,0.52,0.41,1.12,4.05,1.27,1.87,1.24,1.73,4.16,2.69,0.39,2.01,2.98,1.31,0.82,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.95,3.97,2.7,2.59,3.88,4.96,3.77,1.7,1.01,1.83,2.65,1.09,2.02,1.49,1.67,1.04,1.95,0.93,1.73,2.54,1.03,1.4,1.49,2.1,3.31,4.38,1,4.5,2.95,2.27,1.02,3.3,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.41,3.41,4.9,1.91,3.95,3.96,3.32,0.14,3.28,1.25,5.12,2.62,3.76,3.96,2.48,2.57,2.18,2.74,1.02,2.12,1.05,0.84,1.7,3.32,1.03,4.5,2.53,1.15,1.62,4.85,1.93,2.28,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,6.26,6.2,0.8,4.31,2.78,0.86,0.77,2.18,1.44,2.11,2.04,2.11,3.01,5.27,2.59,1.72,2.54,2.44,2.25,4.16,2.76,3.09,2.66,1.72,2.73,2.74,1.91,4.28,1,2.47,3.11,1.99,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.5,2.78,5.64,1.82,4.02,3.87,2.1,3.23,3.02,2.68,1.12,2.27,1.73,2.02,2.58,0.97,3.52,0.88,4.39,2.18,0.6,2.26,0.32,1.25,1.81,2.18,2.39,1.2,0.44,0.5,1.12,3.13,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.7,1.51,4.73,2.26,6.06,2.7,1.06,3.36,4.91,2.64,0.56,2.91,1.44,6.34,1.8,1.58,2.65,3.8,2.96,1.15,3.16,2.02,2.65,1.09,2.38,5.51,0.61,1.49,4.18,7.3,1.3,3.14,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
