BEN NEVIS THE LAKE,,,,,,,,,,
Grid ref,NN 145 730,Long,-5.040217,Lat,56.811856,Elevation,1850,ft,,
Station no,RR1213,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,5.75,4.26,,,,,,
July,,,6.96,4.76,,,,,,
August,,,6.05,9.08,,,,,,
September,,,6.67,4.73,,,,,,
October,,,4.29,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
https://www.scotlandspeople.gov.uk/article/our-records-ben-nevis-observatory,,,,,,,,,,
The Lake formed part of route,,,,,,,,,,
up Mountain,,,,,,,,,,
See British Rainfall 1882,,,,,,,,,,
