BEN NEVIS THE PEAT MOSS,,,,,,,,,,
Grid ref,NN 124 751,Long,-5.076675,Lat,56.829767,Elevation,45,ft,,
Station no,RR1213,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,3.37,,,,,,,
July,,,5.38,,,,,,,
August,,,3.32,,,,,,,
September,,,5.09,,,,,,,
October,,,2.58,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
https://www.scotlandspeople.gov.uk/article/our-records-ben-nevis-observatory,,,,,,,,,,
Notes regarding Observatory'!A1,,,,,,,,,,
Peat Moss formed part of route,,,,,,,,,,
up Mountain,,,,,,,,,,
See British Rainfall 1882,,,,,,,,,,
