BEN NEVIS OBSERVATORY GAUGE D,,,,,,,,,,
Grid ref,NN166712,Long,-5.004712,Lat,56.796089,Elevation,4406,ft,,
Station no,RR1213,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,10.34,,,,,,,
August,,,10.31,,,,,,,
September,,,10.66,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
https://www.scotlandspeople.gov.uk/article/our-records-ben-nevis-observatory,,,,,,,,,,
See British Rainfall 1882,,,,,,,,,,
