FORT WILLIAM ACHINTORE,,,,,,,,,,
Grid ref,NN 09725 73463,Long,-5.118784,Lat,56.813631,Elevation,25,ft,,
Station no,RR1213,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,3.95,,,,,,,
July,,10.9,7.14,,,,,,,
August,,6.41,4.3,,,,,,,
September,,2.01,5.57,,,,,,,
October,,,3.25,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
https://www.scotlandspeople.gov.uk/article/our-records-ben-nevis-observatory,,,,,,,,,,
Notes regarding Observatory'!A1,,,,,,,,,,
Achintore  formed part of route,,,,,,,,,,
up Mountain,,,,,,,,,,
See British Rainfall 1882,,,,,,,,,,
