BEN NEVIS OBSERVATORY GAUGE B,,,,,,,,,,
Grid ref,NN166712,Long,-5.004712,Lat,56.796089,Elevation,4406,ft,,
Station no,RR1213,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,-999
February,,,,,,,,,,-999
March,,,,,,,,,,-999
April,,,,,,,,,,-999
May,,,,,,,,,,-999
June,,,,,,,,,,-999
July,,,9.49,,,,,,,-999
August,,,10.93,,,,,,,-999
September,,,10.14,,,,,,,-999
October,,,,,,,,,,-999
November,,,,,,,,,,-999
December,,,,,,,,,,-999
Total,,,,,,,,,,-999
,,,,,,,,,,
https://www.scotlandspeople.gov.uk/article/our-records-ben-nevis-observatory,,,,,,,,,,
See British Rainfall 1882,,,,,,,,,,
