ASHOPTON-WIN-HILL-OBS-SYMONS,,,,,,,,,,
Grid ref,SK188855,Long,-1.7189408,Lat,53.366038,Elevation,1155,ft.,,
Station no,RR2105,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,6.62
February,,,,,,,,,,1.99
March,,,,,,,,,,2.14
April,,,,,,,,,,4.07
May,,,,,,,,,,3.25
June,,,,,,,,,,1.78
July,,,,,,,,,,1.75
August,,,,,,,,,,1.87
September,,,,,,,,,0.86,6.72
October,,,,,,,,,4.86,3.46
November,,,,,,,,,3.41,2.34
December,,,,,,,,,5.27,3.1
Total,,,,,,,,,,39.09
,,,,,,,,,,
NGR is on Win Hill at the stated altitude and on the side that appears more accessible. NGR could be +/- 1km.,,,,,,,,,,
