LEEK-ALDER-LEE,,,,,,,,,,
Grid ref,SJ989606,Long,-2.0178992,Lat,53.142546,Elevation,685,ft.,,
Station no,2373/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.5,3.65,3.4,6.1
February,,,,,,,2.6,6.85,0.95,2.35
March,,,,,,,4.1,1.85,2.1,1.6
April,,,,,,,0.6,1.55,3.35,1.8
May,,,,,,,1.7,3.7,1.25,2.2
June,,,,,,,2.4,6.1,2.1,2.3
July,,,,,,5.2,5.85,5.05,2.25,5.35
August,,,,,,,5.5,3.5,0.5,5.2
September,,,,,,2.9,7.65,5.55,0.25,4.7
October,,,,,,3.05,3.55,4.1,3.15,5.35
November,,,,,,2,2.3,1.85,4.7,5.5
December,,,,,,4.5,3.75,4,5.85,4.5
Total,,,,,,,42.5,47.75,29.85,46.95
,,,,,,,,,,
NGR is from the 1950s record and is 350m E of Alder Lee. Altitudes match.,,,,,,,,,,
"MIDAS src_id 3181 ends 1981 and places gauge 100m S, similar distance from Alder Lee",,,,,,,,,,
