CRUMBLAND-PLANTATION,,,,,,,,,,
Grid ref,SO474024,Long,-2.7628044,Lat,51.717847,Elevation,804,ft.,,
Station no,4020/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.51,,4.2,4.72,4.33,5.91,5.32
February,,,,3.97,,0.5,,6.54,0.36,4.59
March,,,,4.41,,1.14,,1.59,4.49,2.48
April,,,,0.25,,2.99,,0.69,4.35,2.41
May,,,,3.25,,0.93,2.07,4.28,2.31,1.49
June,,,,5.84,,3.23,1.33,5.15,1.46,2.09
July,,,,2.62,,3.58,4.06,3.18,3.86,4.49
August,,,,3.43,,4.04,4.05,3.21,1.6,5.29
September,,,,4.33,,4.62,4.12,7.75,0.12,5.47
October,,,,5.13,,1.9,3.27,4.33,3.08,9.69
November,,,,9.01,,1.35,2.6,2.62,7.01,8.73
December,,,,3.23,,6.18,3.42,4.95,10.34,4.84
Total,,,,47.98,,34.66,,48.62,44.89,56.89
,,,,,,,,,,
NGR is from the 1950s record and is Crumbland Plantation. Altitudes match.,,,,,,,,,,
MIDAS src_id 1282 ends 1983,,,,,,,,,,
