ABERDEEN OBSERVATORY (check gauge),,,,,,,,,,,,
Grid ref,NJ939081,Long,-2.102492,Lat,57.163715,Elevation,46,ft,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,3.25,0.94,3.01,2.39,3.51,,
February,,,,,,3.43,2.1,0.97,1.27,1.75,,
March,,,,,,2.12,2.19,1.87,1.56,1.81,,
April,,,,,,1.12,2.58,1.61,0.39,2.86,,
May,,,,,,0.86,3.28,1.4,1.79,0.59,,
June,,,,,,1.37,4.59,1.41,1.33,1.33,,
July,,,,,,4.25,3.13,3.66,5.84,1.07,,
August,,,,,,1.53,3.37,3.81,3.64,2,,
September,,,,,,2.73,1.67,1.78,4.19,2.62,,
October,,,,,,2.54,3.65,3.74,2.34,2.95,,
November,,,,,,2.67,3.26,3.63,1.82,4.47,,
December,,,,,,5.83,4.38,0.62,2.47,5.67,,
Total,,,,,,31.7,35.14,27.51,29.03,30.63,,
