DUNFORD BRIDGE RESERVOIR (GAUGE 3163),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE151023,Long,-1.772987,Lat,53.517609,Elevation,1111,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,
January,,0.84,3.29,8.39,2.51,4.58,6.8,5.06,3.48,4.64,4.99,2.53,7.39,4.24,4.31,6.58,2.35,7.42,7.28,2.03,0.4,0.58,5.79,7.82,10.17,3.45,5.39,2.58,2.37,3.53,6.05,4.33,4.59,1.74,5.49,3.55,2.54,2.4,5.04,7.56,7.54,3.01,4.29,5.45,5.45,2.39,5.72,2.18,4.9,2.88,4.56,3.26,5.86,4.72,4.52,4.75,5.33,3.05,,5.77,6.78,11.65,4.68,5.46,3.48,6.95,5.94,4.93,15.34,2.05,8.31,7.45,6.99,4.81,4.59,1.95,4.36,7.3,6.74,6.34,3.01,4.69,,,,,,,,,,,,,,,,,,,,,,,,,
February,,5.57,1.96,2.58,3.94,3.17,6.74,7.26,7.65,8.47,3.36,4.63,6.28,0.81,2.4,1.86,6.98,6.33,1.98,4.48,6.28,7.18,4.37,4.26,3.31,5.49,0.69,1.06,1.44,3.72,1.18,0.4,3.02,7.82,10.7,0.47,2.56,4.46,6.08,2.34,3.6,1.64,1.1,6.22,6.07,2.82,4.1,3.31,3.91,2.81,7,7.36,2.95,2.29,3.38,5.81,7.35,0.66,,2.68,6.3,0.45,6.88,7.54,1.55,7.86,5.55,1.9,7.5,0.6,2,7.04,0.36,5.52,0.27,7.31,3.47,6.45,2.59,5.8,2.68,6.57,,,,,,,,,,,,,,,,,,,,,,,,,
March,,9.73,5.6,1.4,3.84,1.8,2.54,4.14,6.91,1.89,3.91,1.75,3.77,3.3,6.35,0.97,6.88,3.77,5.06,3.11,5.3,6.04,4.58,1.17,2.92,3.5,4.28,2.56,4.47,3.71,4.33,2.62,1.07,1.02,5.22,4.55,7.69,6.66,2.99,2.85,1.2,4.94,2.85,7.83,3.08,5.46,4.84,4.51,4.28,4.45,1.17,3.8,6.47,8.15,5.9,1.56,4.14,2.19,,6.85,4.15,6.11,3.95,3.13,1.52,2.3,2.97,5.84,3.25,0.91,3.68,0.29,3.29,3.31,4.1,2.12,3.64,3.45,1.31,3.79,4.12,6.11,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.3,4.54,2.06,1.78,1.54,2.37,7.2,2.54,2.89,1.71,4.04,4.5,0.54,2.65,2.03,3.56,3.23,2.59,3.35,2.88,1.36,5.81,2.99,2.35,2.5,3.55,1.36,4.19,4.7,1.75,3.02,1.55,0.81,3.08,3.11,2.3,5.03,3.58,3.93,2.91,3.19,3.02,3.46,4.07,3.75,1.26,3.36,2.98,3.33,5.19,3.9,2.29,5.45,2.07,3.29,3.68,2.17,,2.74,8.85,1.81,5.46,3.77,2.27,3.89,2.78,5.87,2.23,1.81,3.15,5.84,6.45,1.93,2.92,4.2,2.06,2.92,0.69,3.06,3.45,3.27,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.37,5.34,2.62,3.14,3.29,2.49,2.44,1.69,6.52,2.09,1.87,3.59,2.99,1.87,3.09,1.29,5.06,5.86,2.87,3.25,4.39,1.5,2.11,3.13,3.75,7.31,3.26,1.43,3.13,3.77,4.17,5.44,3.34,2.48,0.8,0.45,1.57,4.76,3.52,2.01,1.37,3.55,4.48,3.55,0.68,4.31,5.27,3.23,2.36,4.46,1.73,4.85,3.48,3.17,2.08,2.77,2.26,,2.75,7.17,1.96,1.5,5.58,6.31,4.7,4.2,3.57,2.18,3.41,2.23,2.85,6.45,1.96,3.34,0.6,1.99,2.9,3.73,2.55,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.26,3.66,4.83,2.7,0.89,6.21,2.39,0.23,1.36,1.87,4.79,5.73,2.7,1.34,4.56,3.59,3.59,3.87,5.55,3.97,2.75,6.52,4.59,2.01,4.12,1.8,0.49,3.75,0.59,3.61,2.54,4.17,1.76,3.64,2.76,4.31,4.97,2.45,2.13,3.16,1.52,2.04,2.14,1.1,3.21,1.87,7.04,2.58,5.08,4.86,5.16,5.61,2.61,3.82,0.89,3.81,2.59,,1.26,3.91,0.35,3.58,1.15,2.6,0.15,4.38,5.2,5.08,1.37,4.28,5.13,0.9,3.15,1.72,4.81,5.09,1.72,4.53,3.2,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,4.94,4.56,1.94,1.07,2.39,5.7,6.39,0.58,0.93,0.87,3.69,5.91,3.6,2.08,5.39,3.33,4.37,1.28,6.13,6.59,4.03,5.63,3.6,3.57,1.92,6.27,0.79,8.18,4.28,3.21,4.02,3.7,4.23,4.91,7.91,1.68,2.32,0.95,1.91,4.01,5.69,3.14,3.43,1.97,2.13,3.15,2.96,4.34,6.98,5.28,0.54,6.62,1.37,3.58,5.04,2.71,2.65,,4.05,8.95,2.8,5.54,4.88,3.85,2.07,3.31,2.81,1.84,2.72,8.2,5.95,5.19,4.54,2.41,2.13,4.54,2.77,3.98,7.88,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,3.32,3.34,4.79,2.62,5.89,6.34,2.91,3.35,2.43,1.89,1.68,3.9,4.16,6.07,4.05,4.01,7.21,7.05,7.56,1.95,5.12,3.23,3.79,1.65,2.35,2.75,2.56,3.75,4.38,4.44,7.86,5.4,2.91,4.84,4.2,2.61,3.72,6.03,1.47,6.41,2.02,4.29,6.49,5.19,4.79,3.99,4.14,3.84,3.52,7.81,5.2,9.54,1.79,3.21,5.06,2.75,7.54,,4.01,3.46,6.32,6.91,5.09,5.45,3.71,5.58,5.88,4.89,5.53,3.91,7.49,2.46,0.89,3.12,2.33,1.78,1.39,3.86,2,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.27,5.13,4.21,6.58,3.35,0.6,7.23,4.35,4.28,9.3,3.22,6.2,7.12,3.76,3.93,5.75,5.75,5.23,5.85,3.63,7.28,3.17,3.62,7.84,2.84,5.18,2.58,4.38,1.54,3.31,1.92,4.24,4.34,3.62,1,1.12,8.53,4.9,0.63,6.53,1.32,0.77,2.4,6.77,1.73,2.66,1.6,0.85,3.75,4.48,0.46,3.71,3.31,4.23,3.02,0.83,2.51,3.55,,3.03,2.85,1.86,5.62,5.16,5.19,3.92,3.6,7.08,0.52,1.7,5.68,6.22,5.78,2.38,3.22,7.2,5.82,1.61,2.23,2.43,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,
October,6.6,1.61,8.25,8.39,4.53,8.3,3.19,4.77,6.67,4.05,14.39,4.5,7.17,6.11,6.12,6.88,2.95,6.04,4.98,3.67,7.76,8.16,5.65,7.32,2.74,10.9,7.32,4.06,1.95,7.32,3.75,7.19,8.3,3.09,6.98,5.3,6.87,2.05,5.78,4.46,6.21,3.19,6.39,11.88,1.71,3.81,8.22,7.96,1.64,6.99,4.62,4.87,5.28,4.97,3.18,2.23,8.87,7.26,,4.37,1.96,2.86,1.04,5.17,6.08,5.34,4.76,5.16,6.66,6.5,7.1,2.58,8.31,5.4,5.53,11.58,6.41,3.74,12.13,4.24,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,
