STANAGE-REDMIRES-CHECK,,,,,,,,,,
Grid ref,SK248840,Long,-1.6288928,Lat,53.352309,Elevation,1395,ft.,,
Station no,2689/7/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.51,,5.39
February,,,,,,,,,0.35,3.09
March,,,,,,,,3.74,2.18,2.67
April,,,,,,,,1.12,4.7,2.42
May,,,,,,,,4.24,1.5,2.15
June,,,,,,,,5.38,1.55,1.56
July,,,,,,,,6.6,2.55,5.16
August,,,,,,,,3.61,1.03,5.75
September,,,,,,,,4.02,0.12,5.14
October,,,,,,,,3.85,3.77,8.4
November,,,,,,,,1.14,5.5,5.68
December,,,,,,,,5.26,6.22,4.42
Total,,,,,,,,,,51.83
,,,,,,,,,,
NGR is from 1950s record and is in an area called Stanage. Altitudes match,,,,,,,,,,
