STANAGE-REDMIRES-NO-2,,,,,,,,,,
Grid ref,SK247842,Long,-1.6303796,Lat,53.352309,Elevation,1395,ft.,,
Station no,2689/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.75
February,,,,,,,,,,3.15
March,,,,,,,,,,2.6
April,,,,,,,,,,2.32
May,,,,,,,,,,2.01
June,,,,,,,,,1.5,1.44
July,,,,,,,,,2.65,
August,,,,,,,,,0.99,5.64
September,,,,,,,,,0.12,4.63
October,,,,,,,,,3.56,7.97
November,,,,,,,,,5.2,5.61
December,,,,,,,,,5.73,3.94
Total,,,,,,,,,,
,,,,,,,,,,
NGR is from 1950s record and is in an area called Stanage. Altitudes match,,,,,,,,,,
