LOUTH WESTGATE (BARROWCLOUGH),,,,,,,,,,
Grid ref,TF324872,Long,-0.012,Lat,53.365,Elevation,100,ft,,
Station no,2567,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,2.39,2.75,,,,
February,,,,,1.59,3.49,,,,
March,,,,,1.94,1.75,,,,
April,,,,,1.36,2.11,,,,
May,,,,,0.97,1.82,,,,
June,,,,,0.94,2.78,,,,
July,,,,,2.68,0.80,,,,
August,,,,,1.07,2.27,,,,
September,,,,5.62,1.24,5.05,,,,
October,,,,3.33,2.08,5.90,,,,
November,,,,3.88,2.25,2.77,,,,
December,,,,2.44,3.20,0.89,,,,
Total,,,,,21.71,32.38,,,,
,,,,,,,,,,
TYRain_1880-1889_08_pt1/068,,,,,,,,,,
,,,,,,,,,,
# Detailed location on Westgate not determined.,,,,,,,,,,
