"HIGH CLOSE, LOUGHRIGG. 5"" gauge complete record # beginning and end",,,,,,,,,,
Grid ref,NY338052,Long,-3.02216,Lat,54.437882,Elevation,553,ft,,
Station no,3705,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,11.36,9.24,
February,,,,,,,,9.25,8.76,
March,,,,,,,,3.97,11.43,
April,,,,,,,,10,5.37,
May,,,,,,,,3,3.3,
June,,,,,,,,1.87,1.37,
July,,,,,,,,5.58,,
August,,,,,,,,5.7,,
September,,,,,,,,7.56,,
October,,,,,,,5.04,9.37,,
November,,,,,,,11.4,2,,
December,,,,,,,,6.08,,
Total,,,,,,,,75.74,,
