BARNINGHAM PARK,,,,,,,,,,
Grid ref,NZ085101,Long,-1.870,Lat,54.486,Elevation,650,ft,,
Station no,3483,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,1.40,5.74,4.71,2.28,4.55,0.19,7.78,1.10,1.10
February,,2.47,5.53,1.90,2.83,0.69,3.80,0.70,0.17,2.00
March,,1.91,4.18,4.50,2.30,0.50,3.12,3.90,0.25,1.20
April,,2.66,3.50,1.95,2.37,0.88,3.13,4.64,1.25,2.50
May,,0.94,2.09,2.74,2.65,0.88,0.27,1.95,6.27,1.50
June,,3.06,3.99,1.25,1.80,2.30,2.06,1.26,3.01,4.00
July,,3.93,4.70,2.75,0.70,5.06,1.25,6.12,0.62,4.40
August,,1.25,3.69,2.82,2.93,2.50,2.31,6.24,4.82,4.05
September,,6.41,5.55,1.60,3.35,2.92,4.45,1.16,1.97,1.22
October,,4.33,5.67,2.85,3.71,4.36,1.49,2.47,2.93,1.25
November,,2.05,6.58,2.60,1.35,5.75,4.10,7.02,4.07,1.22
December,,2.75,5.15,1.20,2.50,2.31,10.20,2.45,2.50,1.53
Total,,33.16,56.37,30.87,28.77,32.70,36.37,45.69,28.96,25.97
,,,,,,,,,,
TYRain_1870-1879_08_pt3/053,,,,,,,,,,
,,,,,,,,,,
# Readings for January-July 1875 were copied to the East Layton site as duplicates.,,,,,,,,,,
#,,,,,,,,,,
# The elevation of 650 ft given on the rainfall sheet is a bit low for the vicinty of the main Barningham Park property used for the grid reference.,,,,,,,,,,
"# If it is correct, it may indicate the gauge was to the north-east of the main house.",,,,,,,,,,
