"WEST LINTON (WOODLEA COTTAGE)",,,,,,,,,,,,
Grid ref,NT159507,Long,-3.341126,Lat,55.742351,,,,,,,
Station no,5077,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.58,3.14,1.10,3.60,2.06,2.39,4.00,2.12,1.09,3.42,,
February,2.73,1.08,1.06,2.16,1.76,1.85,2.83,2.81,0.93,2.78,,
March,3.29,1.21,0.65,1.82,1.34,1.97,2.76,1.44,1.10,1.89,,
April,3.03,1.43,2.57,1.32,1.15,1.04,1.49,1.74,2.18,1.71,,
May,3.04,1.57,2.24,4.59,2.75,1.45,1.61,2.54,1.97,1.30,,
June,1.83,2.63,1.40,2.62,1.29,2.65,1.88,2.43,2.14,1.22,,
July,2.90,2.52,4.26,3.43,1.66,4.96,3.78,6.37,3.22,2.60,,
August,4.66,3.74,2.07,5.35,1.78,6.23,3.62,3.64,0.73,3.76,,
September,1.85,2.40,2.73,5.16,2.63,2.54,2.08,3.88,0.96,1.72,,
October,0.58,2.56,1.71,6.83,2.58,2.33,2.96,1.91,3.44,2.81,,
November,6.54,3.11,5.53,4.53,1.21,1.12,1.62,1.13,5.91,3.59,,
December,3.18,3.35,4.45,5.37,5.85,4.22,4.33,4.98,3.64,4.48,,
Total,37.21,28.74,29.77,46.78,26.06,32.75,32.96,34.99,27.31,31.28,,
Calc annual,37.21,28.74,29.77,46.78,26.06,32.75,32.96,34.99,27.31,31.28,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
