"DAVENTRY WATERLOO",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2789,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,,3.04,2.48,1.09,0.85,,
February,,,,,,,0.71,0.72,2.63,2.07,,
March,,,,,,,1.75,1.60,3.34,2.80,,
April,,,,,,1.92,2.10,1.59,1.87,2.97,,
May,,,,,,2.63,5.73,2.59,1.09,3.48,,
June,,,,,,2.55,1.04,1.56,1.87,1.30,,
July,,,,,,0.29,2.98,0.94,6.11,3.25,,
August,,,,,,2.87,1.45,0.88,2.04,2.52,,
September,,,,,,3.82,2.16,2.31,1.21,2.67,,
October,,,,,,4.30,4.73,2.17,0.48,3.26,,
November,,,,,,4.33,2.19,1.94,4.17,1.07,,
December,,,,,,0.80,4.33,1.73,2.20,1.86,,
Total,,,,,,,32.21,20.51,28.10,28.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.51,32.21,20.51,28.10,28.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
