"DARFIELD (SEWAGE WORKS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3167,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,1.91,1.43,1.11,2.79,3.39,1.99,4.84,2.93,,
February,,,3.39,0.54,2.33,2.87,2.70,0.95,0.76,2.88,,
March,,,2.64,1.87,0.93,1.79,3.15,0.21,2.05,1.57,,
April,,,1.30,1.88,2.01,0.72,2.66,0.05,1.20,2.23,,
May,,,2.24,0.92,0.47,0.81,2.74,2.51,1.61,0.65,,
June,,,1.54,1.61,2.57,3.45,1.63,1.51,1.75,0.63,,
July,,2.23,1.85,1.22,0.59,3.45,2.43,2.57,5.81,2.64,,
August,,1.97,0.28,0.88,2.01,1.02,0.16,4.28,2.04,0.42,,
September,,1.11,2.53,1.64,3.98,2.16,1.54,1.89,2.01,0.89,,
October,,2.85,3.93,1.40,3.78,1.93,3.05,3.02,2.35,3.50,,
November,,1.11,1.88,1.89,4.57,2.84,1.73,2.37,3.79,5.22,,
December,,0.79,0.34,3.80,2.56,1.25,3.62,3.12,2.13,2.02,,
Total,,,23.83,19.08,26.91,25.08,28.80,24.47,30.34,25.58,,
Calc annual,0.00,10.06,23.83,19.08,26.91,25.08,28.80,24.47,30.34,25.58,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
