HOY (GRAEMSAY SOUND, LOW),,,,,,,,,,,,
Grid ref,HY246065,Long,-3.311827,Lat,58.939077,,,,,,,
Station no,5820,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.08,5.58,4.38,3.32,2.73,7.02,4.67,5.95,5.74,3.79,,
February,4.43,4.01,2.76,4.53,3.53,1.91,2.30,3.85,1.17,3.81,,
March,5.06,5.20,1.90,3.14,2.65,2.54,5.65,3.10,1.18,1.79,,
April,4.31,1.16,3.65,1.98,1.43,2.02,1.95,1.41,2.67,2.68,,
May,0.50,2.83,2.47,2.34,2.46,2.66,1.91,4.46,2.30,1.16,,
June,2.08,3.67,1.27,4.16,1.30,3.41,2.31,1.18,2.18,2.50,,
July,3.91,2.25,4.21,3.34,0.41,4.08,3.67,1.47,3.81,1.81,,
August,3.53,6.49,2.22,2.46,1.16,3.41,3.55,2.84,2.54,2.36,,
September,2.01,4.16,3.96,4.39,5.36,3.12,3.70,2.68,1.76,2.49,,
October,2.57,4.57,1.97,7.60,5.92,4.52,6.11,5.39,5.41,3.64,,
November,8.54,4.41,5.76,7.77,2.24,3.95,4.34,1.10,5.03,3.80,,
December,6.81,4.08,3.16,7.45,9.31,5.81,7.11,5.15,5.84,4.38,,
Total,47.83,48.41,37.71,52.48,38.50,44.45,47.27,38.58,39.63,34.21,,
Calc annual,47.83,48.41,37.71,52.48,38.50,44.45,47.27,38.58,39.63,34.21,,
Difference,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
