ROSSINGTON-BRIDGE-PUMPING-STATION,,,,,,,,,,
Grid ref,SK630999,Long,-1.0519014,Lat,53.492045,Elevation,39,ft.,,
Station no,3111/5/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.21,2.12,1.68,4.61
February,,,,,,,1.8,3.54,0.1,1.93
March,,,,,,,1.36,1.87,0.75,1.46
April,,,,,,,0.16,0.35,2.33,0.63
May,,,,,,,1.04,2.71,0.38,0.72
June,,,,,,,1.51,4.66,0.55,0.63
July,,,,,,,5.36,5.63,1.53,2.36
August,,,,,,,3.44,2.06,0.33,3.3
September,,,,,,,3.78,1.44,0,2.44
October,,,,,,,1.18,1.56,1.58,5.66
November,,,,,,,2.46,1.25,2.82,3.41
December,,,,,,,1.83,2.97,2.68,1.88
Total,,,,,,,25.13,30.16,14.73,29.03
,,,,,,,,,,
NGR is from the 1950s record and is the pumping station. Altitudes match.,,,,,,,,,,
MIDAS src_id 3705 ends 1978,,,,,,,,,,
