SOUTH WINGFIELD,,,,,,,,,,,,
Grid ref,SK379535,Long,-1.435713,Lat,53.077389,,,,,,,
Station no,2666/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.05,,
February,,,,,,,,,,2.69,,
March,,,,,,,,,,1.79,,
April,,,,,,,,,,1.22,,
May,,,,,,,,,,1.40,,
June,,,,,,,,,,1.59,,
July,,,,,,,,,,2.77,,
August,,,,,,,,,0.77,4.36,,
September,,,,,,,,,0.09,4.05,,
October,,,,,,,,,2.48,6.49,,
November,,,,,,,,,3.11,3.87,,
December,,,,,,,,,4.48,3.38,,
Total,,,,,,,,,,38.66,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.93,38.66,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
