"BELFAST OLDPARK ROAD FILTERS",,,,,,,,,,,,
Grid ref,IJ3216576268,Long,-5.954570,Lat,54.617458,,,,,,,
Station no,6216,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.20,1.82,,
February,,,,,,,,,1.78,2.77,,
March,,,,,,,,,3.88,3.59,,
April,,,,,,,,,3.98,3.67,,
May,,,,,,,,,2.28,1.47,,
June,,,,,,,,,3.72,2.22,,
July,,,,,,,,,3.79,3.30,,
August,,,,,,,,,2.88,2.42,,
September,,,,,,,,,4.44,1.74,,
October,,,,,,,,,2.50,4.82,,
November,,,,,,,,,2.66,0.84,,
December,,,,,,,,,3.46,3.72,,
Total,,,,,,,,,38.57,32.38,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.57,32.38,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
