BRIDGWATER-NURSERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST292369,Long,-3.013108,Lat,51.126986,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.04,0.63,2.91,1.91,1.81,2.7,2.59,3.22,0.54,2.29,1.17,4.21,3.97,2.13,1.13,3.61,3.37,0.83,4.75,1.08,0.77,1.39,3.66,1.03,3.7,,0.64,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.7,1.94,0.96,0.07,1.94,3.63,3.01,0.16,0.36,3.75,1.45,3.07,4.3,0.71,1.17,1.63,4.64,1,1.98,1.38,1.7,0.45,4.5,1.61,2.21,,2.66,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.89,3.8,1.1,1.86,0.68,0.34,1.87,2.12,2.8,3.82,0.8,0.52,1.05,1.97,1.8,2.81,1.9,3.88,1.56,0.51,3.24,2.92,0.46,1.83,4.01,,4.78,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.35,3.04,3.23,0.85,0.96,0.09,2.67,1.83,0.8,2.75,1.36,3.17,1.29,2.56,1.12,2.27,0.9,2.23,0.83,3.87,1.96,1.7,2.53,1.62,0.28,,1.34,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.82,2.75,2.22,3.27,1.12,0.81,2.77,0.35,0.18,1.17,3.62,1.29,1.96,0.99,2.2,2.53,2.13,0.13,3.56,2.26,1.31,1.02,1.87,1.39,2.43,,1.07,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3,0.65,3.01,1.03,1.56,1.7,2.01,1.18,3.01,2.37,1.11,0.81,2.4,1.6,2.5,3.78,0.9,4.6,1.98,2.04,0.4,2.69,3.48,1.97,3.68,,2.14,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,5.45,2.61,3.34,2.61,1.81,4.72,3.52,2.23,1.98,0.99,0.26,0.37,1.22,1.78,1.81,3.39,3.22,0.71,0.72,2.24,1.32,1.38,2.52,0.5,2.29,,4.05,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.32,2.6,2.53,5.1,2.59,1.44,3.28,3.02,1.57,4.64,3.01,2.94,2.76,2.2,2.62,3.47,2.13,4.5,1.81,2.31,3.1,2.3,5.07,1.43,6.15,,2.4,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.3,1.52,1.04,2.06,1.96,2.04,2.56,1.7,5.62,3.38,0.94,2.73,0.47,1.79,1.78,,1.7,0.88,0.73,0.5,3.6,2.38,0.32,1.27,1.05,,2.01,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.2,3.39,1.44,7.22,3.2,3.69,3.6,3.75,2.28,0.75,5.64,2.25,3,1.35,2.01,,1.33,1.8,3.73,5.63,2.44,4.26,6,3,4.23,,3.02,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,5.41,1.05,2.69,3.15,2.51,1.78,5.67,5.41,0.85,1.5,4.61,3.01,3.27,0.52,3.1,1.88,1.68,2.78,2.28,2.46,1.04,1.01,4.01,3.09,2.47,,3.56,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,2.49,1.64,1.96,3.31,1.19,3.27,2.34,3.14,5.13,4.23,2.67,2.59,5.11,5.57,1.55,2.93,1.68,0.86,1.64,5.14,2.7,3.68,5.24,6.62,3.9,,6.21,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,29.97,25.62,26.43,32.44,21.33,26.21,35.89,28.11,25.12,31.64,26.64,26.96,30.8,23.17,22.79,,25.58,24.2,25.57,29.42,23.58,25.18,39.66,25.36,36.4,,33.88,29.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
