"BRIDGEWATER NURSERIES",,,,,,,,,,,,
Grid ref,ST292369,Long,-3.013108,Lat,51.126986,,,,,,,
Station no,RR2423,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.97,2.13,1.13,3.61,3.37,0.83,4.75,1.08,0.77,1.39,,
February,4.30,0.71,1.17,1.63,4.64,1.00,1.98,1.38,1.70,0.45,,
March,1.05,1.97,1.80,2.81,1.90,3.88,1.56,0.51,3.24,2.92,,
April,1.29,2.56,1.12,2.27,0.90,2.23,0.83,3.87,1.96,1.70,,
May,1.96,0.99,2.20,2.53,2.13,0.13,3.56,2.26,1.31,1.02,,
June,2.40,1.60,2.50,3.78,0.90,4.60,1.98,2.04,0.40,2.69,,
July,1.22,1.78,1.81,3.39,3.22,0.71,0.72,2.24,1.32,1.38,,
August,2.76,2.20,2.62,3.47,2.13,4.50,1.81,2.31,3.10,2.30,,
September,0.47,1.79,1.78,2.81,1.70,0.88,0.73,0.50,3.60,2.38,,
October,3.00,1.35,2.01,6.81,1.33,1.80,3.73,5.63,2.44,4.26,,
November,3.27,0.52,3.10,1.88,1.68,2.78,2.28,2.46,1.04,1.01,,
December,5.11,5.57,1.55,2.93,1.68,0.86,1.64,5.14,2.70,3.68,,
Total,30.80,23.17,22.79,37.92,25.58,24.20,25.57,29.42,23.58,25.18,,
Calc annual,30.80,23.17,22.79,37.92,25.58,24.20,25.57,29.42,23.58,25.18,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
