TREDEGAR-EBBW-VALE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO171090,Long,-3.2028982,Lat,51.773509,Elevation,1060,ft.,,,,,,,,,,,,
Station no,RR2256,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,5.67,4.33,,13.95,8.31,,,11.32,4.1,4.43,0.9,,4.64,9.93,9.92,7.55,7.67,5.7,2.34,2.5
February,6.07,9.34,,1.94,4.04,,,6.23,4.64,7.82,9.17,,6.17,10.38,7.62,10.7,1.8,2.15,0.68,2.81
March,3.11,5,,5.59,4.16,,,4.66,2.71,2.28,3.39,,4.54,2.1,6.52,2.68,8.47,3.38,5.58,2.55
April,0.59,7.89,,0.79,4.52,,,4.45,5.83,3.93,4.49,,7.75,1.37,2.23,6.38,4.2,1.94,2.75,4.13
May,3.96,0.59,,2.99,0.98,,,5.3,8.97,5.74,2.61,,4.06,3.05,2.9,3.87,6.84,2.53,3.62,3.46
June,0.53,4.06,5.88,3.97,1.43,,,3.45,6.63,10.14,5.31,,5.48,5.62,1.83,3.26,0.81,0.58,4.33,0.67
July,3.52,7.64,4.25,5.91,1.82,,,6.1,1.75,6.04,9.02,,10.12,5.14,5.81,1.26,3.88,3.01,8.25,5.42
August,3.45,4.49,4.34,6.88,9.97,,,7.35,8.68,9.56,0.6,,5.36,2.7,3.53,3.98,2.97,3.07,4,3.82
September,4.05,6.82,6.4,2.8,5.35,,,5.05,4.04,7.09,4.39,,4.16,7.98,3.63,8.7,5.62,5.2,1.43,1.7
October,11.24,7.63,8.84,4.96,8.23,,,6.87,8.63,2.04,7.49,,7.48,7.43,2.26,7.23,9.64,3.03,3.1,5.27
November,7.85,1.65,11.82,4.34,4.1,,,11.95,5.68,0.92,8.17,,9.52,7.81,3.5,7.52,7.05,5.95,11.23,1.94
December,2.93,4.67,11.7,2.65,3.33,,,5.18,4.65,3.71,4.28,,6.73,3.09,9.46,2.32,9.24,5.23,9.45,3.72
Total,52.97,64.11,,56.77,56.24,,,77.91,66.31,63.7,59.82,,76.01,66.6,59.21,65.45,68.19,41.77,56.76,37.99
,,,,,,,,,,,,,,,,,,,,
"NGR is Ebbw Vale Iron Works where the original observer, Phineas James worked. Cannnot find subsequent observer, R S Jordan. Altitudes sort of match but distance from church is 2 miles not 3. NGR could be +/- 1km, or more. Gauge may have moved in 1882 because the altitude changes and there is a gap in 1881.",,,,,,,,,,,,,,,,,,,,
"Jan to May 1872 readings are duplicates of those for TREDEGAR SIRHOWY IRON WORKS, the observer R S Jordan was at that location until June 1872 and he obviously took over this location from Phineas James, but no information on when. It is possibe that Mr Jordan filled blanks in this record with readings from his previous location. Readings deleted from here.",,,,,,,,,,,,,,,,,,,,
