LICHFIELD-CHESTERFIELD-ROAD,,,,,,,,,,
Grid ref,SK112083,Long,-1.835803,Lat,52.672294,Elevation,300,ft.,,
Station no,2339/1/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,0.96
April,,,,,,,,,,0.89
May,,,,,,,,,,1.4
June,,,,,,,,,,2.47
July,,,,,,,,,,3.2
August,,,,,,,,,0.43,5
September,,,,,,,,,0.11,5.49
October,,,,,,,,,2.17,5.4
November,,,,,,,,,3.06,3.99
December,,,,,,,,,1.52,3.44
Total,,,,,,,,,,
,,,,,,,,,,
NGR is from 1950s recod and is on Chesterfield Road. Altitudes match. ,,,,,,,,,,
"MIDAS src_id 2973 ends 1983 but starts 1961, which may be the first full year",,,,,,,,,,
