WAKEFIELD PRISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE324207,Long,-1.51094,Lat,53.681762,Elevation,96,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.46,1.78,2.05,1.75,3.1,2.37,2.08,0.52,2.74,2.09,0.82,0.71,3.5,0.23,1.3,4.46,0.72,1.37,2.02,2.1,,,,,,,,,,3.49,2.34,1.3,0.23,0.33,2.97,3.78,3.66,1.27,4.07,1.42,0.51,1.22,2.57,1.12,1.6,0.82,1.52,3.77,0.45,2.59,0.41,3.13,2.79,1.33,1.33,1.76,2.1,0.61,2.99,0.75,1.12,1.02,2.52,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.61,0.66,1.26,0.66,1.51,1.27,0.77,2.35,1.78,0.63,0.66,1.46,0.9,3.9,0.56,0.71,1.71,1.43,2.66,1.65,,,,,,,,,,1.8,0.87,2.5,1.78,3.82,1.94,2.16,2.22,2.11,0.59,0.49,1.34,1.68,1,0.05,2.14,2.81,3.87,0.28,0.9,2.65,1.18,1.13,4.07,1.65,1.54,1.81,3.69,0.71,1.86,0.86,1.19,0.49,1.79,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.16,1.22,0.28,2.63,0.61,1.97,0.52,1.13,0.58,2.84,1.48,2.48,2.06,3.56,3.87,0.86,2.23,0.56,0.77,2.21,,,,,,,,,,3.21,0.74,1.09,2.51,3.68,1.85,1.02,1.45,1.43,2.51,1.37,3.57,3.16,1.55,1.42,1.23,0.57,1.26,1.86,3.13,2.24,0.71,0.92,0.66,1.76,0.82,3.09,1.99,1.99,1.54,1.47,2.86,2.96,0.28,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.53,1.71,1.93,1.23,0.13,1.21,0.43,0.82,2.77,3.5,2.71,3.76,0.72,1.63,1.39,0.86,1.8,0.85,1.03,3.89,,,,,,,,,,3.23,1.92,2.78,1.96,1.27,3.61,3.34,1.6,2.01,2.01,0.72,2.25,3.18,0.65,1.98,1.05,0.71,2.6,1.49,1.19,1.67,3.12,2.1,0.65,1.61,2.18,1.18,1.47,1.87,0.73,1.42,2.24,2.15,1.89,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.16,1.63,1.67,1.41,0.85,2.35,2.2,1.55,3.43,2.03,1.84,0.78,2.98,0.7,4.01,0.94,2.71,2.31,0.78,2.4,,,,,,,,,,2.47,4.32,2,2.59,0.74,0.79,1.16,1.42,1.85,6,2.39,0.45,3.98,2.8,2.84,2.94,2.02,0.95,0.9,0.2,0.97,2.09,2.96,1.09,1.32,2.7,3.26,2.38,0.56,1.49,2.99,2.23,1.96,1.93,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,5.67,0.97,1.38,3.56,5.06,3.54,3.02,2.43,2.6,4.11,4.6,3.34,4.81,2.02,1.97,2.95,1.57,1.31,2.88,1.88,,,,,,,,,,1.75,2.98,3.79,3.31,1.53,3.98,3.57,0.97,2.53,0.73,0.2,2.42,0.46,2.71,1.94,4.35,1.73,2.16,2.48,3.36,4,1.42,1.55,2.54,0.74,1.21,1.62,1.13,2.27,2.2,2.27,1.11,4.2,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.54,2.08,3.67,2.63,3.77,2.25,2.85,3.78,2.42,1.91,1.57,5.55,3.54,2.51,2.56,1.63,0.65,2.6,4.63,3.07,,,,,,,,,,2.92,0.74,3.17,7.19,2.41,2.94,4.1,2.9,0.79,6.05,0.99,4.54,1.51,1.93,3.05,1.95,3.01,3.91,6.31,0.93,0.45,1,1.56,3.76,2.85,1.99,2.28,2.1,1.39,1.37,2.41,2.58,2.9,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.53,1.03,1.94,2.07,1.99,1.84,1.56,1.88,6.46,5.13,2.23,3.95,4.09,0.78,1.88,3.08,1.57,3.04,3.79,3.3,,,,,,,,,,4.06,5.64,3.19,1.57,3.87,1.63,1.53,1.02,1.07,1.7,1.24,2.08,3.56,3.41,4.06,2.42,1.84,3.42,1.24,3.1,2.15,3.42,1.41,5.72,1.01,2.95,2.82,3.61,4.22,1.92,1.53,1.86,2.31,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,3.48,4.14,1.13,2.06,3.77,2.77,0.57,0.36,4.1,1.37,3.43,3.43,2.26,2.53,2.83,3.02,1.58,0.15,5.04,1.96,,,,,,,,,,2.61,2.55,1.31,4.8,2.94,1.96,4.83,0.91,2.12,1.41,2.78,0.97,1.07,1.46,1.47,1.05,1.37,0.47,0.6,4.53,2.37,0.37,3.73,0.3,0.85,0.97,2.88,0.6,1.37,0.6,0.52,2.35,1.93,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,4.47,3.53,1.47,1.24,2.7,3.39,1.38,4.88,2.21,1.65,3.29,2.77,1.65,0.87,4.27,3.57,3.3,5.2,2.38,1.38,,,,,,,,,,2.93,2.2,1.02,5.75,3.26,4.49,3.31,1.29,4.86,3.85,2.66,1.06,3.53,0.65,3.25,5.93,1.97,3.95,3.29,3.94,1.35,3.34,2.42,3.02,1.2,2.71,7.17,0.33,1.73,4.42,5.4,0.94,1.74,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,0.95,2.45,2.4,0.4,5.9,2,2.46,0.85,1.09,1.53,1.04,2.05,3.28,2.53,0.63,1.93,2.77,2.02,4.22,1.22,,,,,,,,,,2.17,2.29,1.33,1.96,2.73,3.65,2,0.98,2.1,1.52,1.77,5.92,0.75,2.71,2.58,1.03,1.68,0.96,2.75,1.08,2.25,2.39,0.9,2.39,3.53,1.72,1.36,1.34,3.05,3.04,2.68,0.82,0.32,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,2.08,2.74,0.89,1.23,2.92,0.83,2.82,0.77,1.74,0.41,1.68,2.87,3.69,1.04,1.57,1.51,1.98,0.87,2.54,2.14,,,,,,,,,,2.37,1.29,1.56,3.57,2.74,3.49,1.17,2.37,0.72,4.17,1.3,1.87,1.73,0.77,4.63,0.68,3.01,1.34,2.81,2.25,2.26,2.06,2.59,2.73,4.15,1.68,1.19,1.51,0.28,3.01,1.83,1.02,4.82,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,33.64,23.94,20.07,20.87,32.31,25.79,20.66,21.32,31.92,27.2,25.35,33.15,33.48,22.3,26.84,25.52,22.59,21.71,32.74,27.2,,,,,,,,,,33.01,27.88,25.04,37.22,29.32,33.3,31.97,20.79,22.86,34.61,17.33,26.98,25.83,22.21,28.39,26.37,21.54,26.41,27.78,25.06,24.95,21.51,24.4,29.72,22,21.8,30.42,22.25,20.05,25.17,24.13,20.32,26.8,26.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
