"BUCKIEBURN FILTERS",,,,,,,,,,,,
Grid ref,NS751851,Long,-4.006508,Lat,56.042433,,,,,,,
Station no,5352,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,1.49,3.78,8.31,7.67,,
February,,,,,,,4.02,4.71,2.79,3.25,,
March,,,,,,,5.63,5.51,3.05,3.98,,
April,,,,,,,1.51,2.74,4.36,4.37,,
May,,,,,,,5.88,5.07,4.32,2.46,,
June,,,,,,,2.33,8.01,4.16,4.61,,
July,,,,,,,3.03,5.47,5.13,3.80,,
August,,,,,,,6.30,7.28,1.98,3.56,,
September,,,,,,,2.55,2.85,12.12,3.23,,
October,,,,,,,5.22,8.77,2.26,9.20,,
November,,,,,,,4.12,3.43,3.76,0.55,,
December,,,,,,,4.69,9.49,8.35,10.01,,
Total,,,,,,,46.77,67.11,60.59,56.69,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,46.77,67.11,60.59,56.69,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
