"BARNOLDSWICK (GREENBERFIELD)",,,,,,,,,,,,
Grid ref,SD887481,Long,-2.173577,Lat,53.928903,,,,,,,
Station no,3075,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.76,4.88,1.34,3.17,2.11,5.17,4.45,4.39,3.33,4.64,,
February,3.77,0.77,1.83,2.67,2.38,0.63,2.74,6.73,0.44,2.65,,
March,4.24,2.28,1.61,2.74,2.32,1.56,3.55,1.41,1.71,1.08,,
April,2.37,2.69,2.76,0.67,1.79,2.10,0.36,1.25,2.31,2.46,,
May,1.68,1.56,1.57,2.71,2.63,1.56,1.40,5.72,1.23,1.37,,
June,1.51,2.34,2.17,2.31,2.10,2.16,1.55,4.74,2.58,1.00,,
July,2.34,1.55,4.90,3.89,0.94,3.36,4.52,3.27,2.93,8.08,,
August,4.39,5.79,4.83,5.89,1.06,7.60,4.49,4.24,0.55,4.24,,
September,3.39,3.46,3.40,5.43,1.99,3.14,4.12,4.73,0.25,2.50,,
October,1.44,3.12,1.57,8.20,1.85,2.14,5.17,3.10,5.05,3.56,,
November,7.24,1.50,4.99,5.47,1.52,1.13,1.52,1.41,4.77,7.31,,
December,9.78,3.99,2.05,5.12,5.09,4.30,4.51,4.10,7.61,5.28,,
Total,46.91,33.93,33.02,48.27,25.78,34.85,38.38,45.09,32.76,44.17,,
Calc annual,46.91,33.93,33.02,48.27,25.78,34.85,38.38,45.09,32.76,44.17,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
