INGLETON-GRETA-BRIDGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD689727,Long,-2.4776378,Lat,54.149175,Elevation,355,ft.,,,,,,,,,,,,
Station no,3069/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,5.7,5,3.2,1.15,5,6.65,5.65,3.1,3.3,,,,
February,,,,,,,,2.15,3.56,,4.7,1.5,2.57,2.5,5.6,4.85,,,,
March,,,,,,,,1.5,2.07,3.9,,2.1,1.1,0.4,2.7,1.45,,,,
April,,,,,,,,0.9,2.03,1.5,1.15,,3.5,2.25,2.5,1.15,,,,
May,,,,,,,,3.03,1,1.25,2.15,3,3.1,2.15,3.15,0.95,,,,
June,,,,,,,,4.06,2.45,1.9,0.6,1.5,4,3.25,3.45,3.95,,,,
July,,,,,,,,4.03,4.01,5.25,2.65,5.15,3.15,5.25,2.35,5.15,,,,
August,,,,,,,,4.03,2.2,2.65,4.45,4.2,6.25,2.5,2.5,,,,,
September,,,,,,,,2.01,2.5,4.9,,4.35,3.25,6.15,5.45,,,,,
October,,,,,,,,10.02,1.8,4.1,7.75,5.8,4,5.35,6.75,,,,,
November,,,,,,,,6.07,5.35,4.65,2.2,1,3.5,5.15,0.35,,,,,
December,,,,,,,,5.02,3.2,4.55,2.7,4.45,2.53,4.1,2.35,,,,,
Total,,,,,,,,48.52,35.17,,,,43.6,44.7,40.25,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is the New Bridge over the River Greta, SW of Ingleton.",,,,,,,,,,,,,,,,,,,,
Matches the stated distance from church and station and also the stated altitude,,,,,,,,,,,,,,,,,,,,
