LYME-REGIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY337916,Long,-2.9404,Lat,50.7207,Elevation,19,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,6.21,4.79,4.58,4.34,2.48,3.37,6.4,5.39,2.59,6.31,1.25,,,,,,,,,2.91,4.02,3.28,1.39,0.73,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,4.43,2.75,1.99,3.59,2.31,2.55,3.32,3.45,3.17,2.05,3.96,,,,,,,,,3.75,0.72,0.43,0.7,2.31,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.75,5.03,1.5,2.62,2.46,1.71,3.96,3.61,0.54,0.93,3.47,,,,,,,,,2,3.62,1.18,3.62,2.41,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.42,2.31,2.27,1.19,0.4,5.82,2.3,1.01,2.22,1.4,,,,,,,,,,2.57,2.42,0.99,1.55,3.17,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,2.33,2.1,1.85,6.38,1.36,0.79,1.89,1.01,1.12,3.2,,,,,,,,,,2.88,3.62,2.13,2.05,1.59,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.05,1.05,0.8,0.8,1.44,2.75,3.79,1.32,3.26,2.88,,,,,,,,,2.12,1.48,0.54,0.22,4.61,0.64,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.52,4.64,0.49,0.44,0.18,4.24,5.12,2.57,1.29,3.83,,,,,,,,,4.14,0.21,2.09,0.81,4.46,3,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,3.19,1.52,4.85,0.86,1.56,0.94,1.29,4.38,1.53,3.18,,,,,,,,,1.24,1.53,1.46,1.92,2.83,3.68,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,7.45,1.98,4.64,4.22,1.48,3.99,2.59,1.79,7.57,3.35,,,,,,,,,2.26,3.94,2.45,2.55,0.8,1.38,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.46,3.21,3.31,2.7,3.77,3.6,6.18,2.68,5.85,8.01,,,,,,,,,0.72,4.6,4.05,2.42,1.62,4.05,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
