Rainfall at,BUXTON, DEVONSHIRE HOSPITAL
,
Station no,,
,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.19,0.57,4.69,6.76,7.35,4.16,6.97,4.19,2.19,2.73,
February,6.78,9.08,4.33,4.73,3.19,4.23,1.07,1.15,2.86,3.56,
March,3.85,7.13,3.66,1.83,3.89,3.06,4.13,2.59,3.98,4.35,
April,2.15,1.93,5.28,2.54,1.99,2.00,2.16,1.04,2.62,3.52,
May,3.81,4.18,2.37,1.79,3.02,3.06,5.48,3.93,1.47,3.93,
June,3.82,3.09,8.31,4.95,2.07,3.78,1.62,0.55,2.78,0.63,
July,7.27,3.60,6.57,4.26,5.09,2.10,4.17,1.44,7.87,4.44,
August,2.22,6.86,5.46,3.42,1.72,2.47,3.03,2.51,4.87,6.24,
September,5.71,2.35,2.86,7.11,3.80,6.33,2.78,5.18,1.93,4.56,
October,5.98,6.04,5.99,6.87,3.93,9.56,5.91,2.56,2.14,4.99,
November,5.83,6.60,9.25,5.33,2.74,4.76,3.85,2.96,9.60,2.51,
December,8.62,6.06,7.12,4.92,6.17,3.41,6.26,4.28,3.97,4.36,
Total,57.23,57.49,65.89,54.51,44.96,48.92,47.43,32.38,46.28,45.82,
Calc annual,57.23,57.49,65.89,54.51,44.96,48.92,47.43,32.38,46.28,45.82,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
