WEYBRIDGE-THAMES-STREET,,,,,,,,,,
Grid ref,TQ075655,Long,-0.4567924,Lat,51.378384,Elevation,50,ft.,,
Station no,232/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.7,3.85,1.57,2.16,2.3,2.21
February,,,,,1.37,0.21,2.91,2.26,0.1,1.95
March,,,,,0.9,0.44,0.97,1.3,1.99,1.24
April,,,,,0.2,1.34,0.27,0.97,2.07,0.61
May,,,,,3.41,0.19,1.15,2.44,0.75,1.88
June,,,,,2.37,1.89,0.87,4.31,1.13,2.12
July,,,,,0.2,4.55,3.02,1.76,2.73,3.17
August,,,,,1.21,3.81,3.08,3.6,1.64,2.67
September,,,,1.98,1.52,2.76,2.74,3.49,0.41,2.29
October,,,,1.91,2.88,1.75,1.67,2.24,2.5,6.75
November,,,,3.79,1.27,0.55,2.78,1.94,2.42,4
December,,,,2.34,2.15,2.93,1.92,2.64,3.63,2.36
Total,,,,,20.18,24.27,22.95,29.11,21.67,31.25
,,,,,,,,,,
"NGR is from MIDAS, src_id 6479. Altitude also.",,,,,,,,,,
"The 1950s record has an NGR of TQ076657, 200m NNE, and not really on Thames Street",,,,,,,,,,
