NEWPORT-THE-MALL-(RECREATION-GROUNDS),,,,,,,,,,,,,,,,,,,,
Grid ref,SZ490887,Long,-1.3075,Lat,50.6962,Elevation,60,ft,,,,,,,,,,,,
Station no,602,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.05,1.79,2.8,3.79,5.7,0.99,1.01,3.68,2.43,1.19,1.86,3.94,4.71,2.87,,,
February,,,,0.73,2.21,3.1,2.06,1.19,1.02,5.29,6.69,0.7,1.44,3.48,2.29,0.41,3.99,,,
March,,,,0.15,0.89,1.55,6.58,0.45,1.51,1.58,4.92,3.01,0.36,3.98,1,0.63,1.53,,,
April,,,1.01,1.67,1.4,2.99,1.78,1.36,1.53,1.77,2.7,2.6,1.43,0.18,0.56,1.77,0.28,,,
May,,,2.25,0.42,1.6,3.05,1.33,3.2,1.86,1.46,2.31,2.18,2.67,2,3.1,0.29,0.78,,,
June,,,0.7,1.57,2.88,3.62,1.54,1.74,0.39,1.34,1.22,0.71,1.89,2.63,3.1,2.5,1.55,,,
July,,,2.55,3.38,3.07,1.5,1.13,1.15,0.22,4.02,2.12,0.51,2.22,3.45,0.67,2.1,4.43,,,
August,,,1.4,2.14,2.27,3.32,1.2,4.01,1.04,3.82,5.28,1.74,1.68,2.53,1.19,5.42,1.58,,,
September,,,1.51,1.38,2.39,3.75,1.07,2.51,3.47,3.92,3.37,5.91,2.48,3.39,1.56,3.43,,,,
October,,,3.72,4.17,3.55,0.91,1.37,1.95,9.81,0.97,1.64,3.25,2.6,2.52,2.29,0.72,,,,
November,,,1.44,5.52,0.36,5.51,1.73,1.33,3.54,5.46,9.44,3.83,2.04,5.72,2.17,0.72,,,,
December,,,2.62,2.43,5.85,3.89,2.95,4.51,2.52,2.77,3.36,3.15,0.81,3.16,5.31,4.66,,,,
Total,,,,25.61,28.26,35.99,26.53,29.1,27.9,33.41,46.73,30.02,20.81,34.9,27.18,27.36,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1943 March 31st Note says gauge moved to Victoria Recreation Ground ,,,,,,,,,,,,,,,,,,,,
The name at the top of the sheet says change happened in 1946,,,,,,,,,,,,,,,,,,,,
A note below says that it is more likely the move happened in 1943,,,,,,,,,,,,,,,,,,,,
"Miss Morey, the observer died in 1943, so most likely that is when the move happened",,,,,,,,,,,,,,,,,,,,
Rec Ground about 300yrds W of Carisbrooke Rd,,,,,,,,,,,,,,,,,,,,
Ground slopes sharply to S nearby but no better site,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1957 Station terminated, due to expense. No one willing to take over obs",,,,,,,,,,,,,,,,,,,,
