RUSHUP-EDGE,,,,,,,,,,
Grid ref,SK103824,Long,-1.8467762,Lat,53.338406,Elevation,1245,ft.,,
Station no,2681/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.4,5.3,2.5,5.35,,7.5,4.1,5.22,4.5,7
February,4.3,2.75,2.29,3.24,,1.7,3.15,9.12,1,
March,6.75,2.5,3.5,4,4.2,2.6,4.2,3.6,2.1,1.75
April,3,4,3,1,2.25,2.26,0.5,1.5,3.75,1.5
May,2.75,3.22,2.56,3.45,5,1,1.75,4.25,1,2.25
June,2,3,4,3.5,3.75,3.6,2,6,2.25,1.75
July,3.5,4.36,5.95,7.1,1,8.56,5.65,6.95,3.75,7.75
August,5.25,2.7,4.76,6.3,0.75,11.5,9,,0.75,5
September,2.75,5.75,2.76,5.75,2.42,4.25,,7,0.25,4.5
October,1.26,6,2.75,6.76,4.75,3.56,4.5,5.2,3.95,6.25
November,10.85,4.26,2.75,7.36,2.95,2.27,2.25,1.5,5,6
December,6.4,4.6,2.25,7.5,5.25,,6,4.95,6.5,5.75
Total,55.21,48.44,39.07,61.31,,,,,34.8,
,,,,,,,,,,
NGR is from 1950s record and is on the side of Rushup Edge. Altitudes match,,,,,,,,,,
