UTTOXETER-BROOK-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK119306,Long,-1.8246486,Lat,52.872744,Elevation,283,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,0.89,3.23,2.29,2.39,2.32,2.46,3.97,1.64,2.48,1.54,3.8,4.67,2.34,1.64,2.37,,,,,,
February,,,,,,,,,,2.33,0.64,0.15,2.15,3.71,2.91,0.26,1.32,3.4,1.59,2,4.4,1.47,1.92,1.47,,,,,,
March,,,,,,,,,,3.57,1.71,1.74,0.82,0.68,1.61,2.33,3.58,2.76,1.4,1.5,0.73,2.47,1.98,3.97,,,,,,
April,,,,,,,,,,3.97,1.87,2.85,1.49,0.55,2.15,2.22,1.31,2.81,2.11,3.1,1.63,2.13,2.32,1.97,,,,,,
May,,,,,,,,,,4.41,2.08,2.85,3.13,2.77,2.83,1.19,0.29,1.28,3.04,3.42,1.96,0.81,2.46,3,,,,,,
June,,,,,,,,,,0.84,2.61,4.26,5.37,0.98,3.14,1.42,2.83,3.33,1.58,1.67,5,2.44,1.62,1.22,,,,,,
July,,,,,,,,,,2.75,2.99,2.16,2.39,2.97,2.44,3.77,1.54,0.72,0.96,1.96,2.67,3.48,2.02,3.89,,,,,,
August,,,,,,,,,,3.13,3.87,4.27,2.96,2.7,2.06,3.18,2.32,4.27,3.18,1.11,4.81,2.19,3.74,4.64,,,,,,
September,,,,,,,,,,2.56,0.9,1.89,4.48,3.4,1.12,0.73,4.3,3.19,0.68,2.91,1.14,0.92,2.17,4.33,,,,,,
October,,,,,,,,,,3.14,2.34,5.31,3.29,2.07,2.87,2.95,2.73,1.1,3.12,3.44,3.25,2.5,2.81,6.25,,,,,,
November,,,,,,,,,,1.03,5.47,2.64,2.13,1.5,2.3,3.35,1.48,2.88,2.44,1.45,2.74,2.19,2.22,3.3,,,,,,
December,,,,,,,,,,2.08,1.01,4.96,2.83,3.38,2.87,2.92,4.32,3.35,2.29,2.9,4.69,5.36,2.34,1.88,,,,,,
Total,,,,,,,,,,30.7,28.72,35.37,33.43,27.03,28.76,28.29,27.66,31.57,23.93,29.26,37.69,28.3,27.24,38.29,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Upper Brook House in Birch Cross. Altitudes match. The observer, J J Gibbons, is listed in the 1891 cencus as living in Birch Cross and his occupation is gardener, pesumably at Brook House. The NGR has the correct relationship to St Johns Church. There is a Lower Brook House 250m SW, but not at the right altitude. There is also a Brook House nearer Uttoxeter at SK095329, altitude nearly matches but does not fit the realtionship to the church",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
