RYDE-ST-JOHNS-PARK-(EARLY),,,,,,,,,,
Grid ref,SZ601921,Long,-1.1494,Lat,50.7258,Elevation,70,ft,,
Station no,RR2302,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,5.68,,,
February,,,,,,,5.24,,,
March,,,,,,,2.31,,,
April,,,,,,,1.69,,,
May,,,,,,,0.96,,,
June,,,,,,,2.11,,,
July,,,,,,,1.54,,,
August,,,,,,,2.41,,,
September,,,,,,,7.74,,,
October,,,,,,,1.64,,,
November,,,,,,,2.02,,,
December,,,,,,,2.42,,,
Total,,,,,,,35.76,,,
,,,,,,,,,,
,,,,,,,,,,
Nothing to say where this was so going purely by elevation,,,,,,,,,,
