"PENTLAND HILLS, GLENCORSE RES. GLEN COTTAGE",,,,,,,,,,,,
Grid ref,NT222635,Long,-3.244469,Lat,55.858386,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.50,2.30,1.40,5.93,3.35,1.22,5.19,1.56,5.59,4.90,,
February,5.10,1.45,1.06,6.30,3.69,1.80,1.92,2.34,1.73,2.40,,
March,2.00,3.37,2.13,6.58,1.79,4.37,3.60,2.62,4.81,7.15,,
April,2.40,2.52,1.67,1.49,3.21,2.39,1.33,1.69,2.23,3.15,,
May,2.00,3.14,3.59,2.93,4.74,1.41,5.87,3.65,2.85,2.13,,
June,3.60,2.51,3.94,1.98,3.28,1.07,2.31,3.94,1.54,2.91,,
July,3.15,1.03,2.76,4.83,2.34,2.28,1.78,3.11,4.60,4.36,,
August,4.90,5.45,1.72,4.11,5.71,4.05,6.94,4.42,1.95,2.48,,
September,3.80,1.63,2.47,2.73,1.73,3.00,0.85,1.61,4.53,2.94,,
October,4.85,2.62,2.67,8.37,1.66,2.60,9.03,10.43,1.36,5.79,,
November,6.15,4.04,1.07,2.65,1.77,3.13,5.56,2.01,2.33,1.15,,
December,7.05,3.97,3.67,2.09,3.79,2.09,1.51,5.43,1.26,4.39,,
Total,49.50,34.03,28.15,49.99,37.06,29.41,45.89,42.81,34.78,43.75,,
Calc annual,49.50,34.03,28.15,49.99,37.06,29.41,45.89,42.81,34.78,43.75,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
