PLYMOUTH HAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX461575,Long,-4.1656,Lat,50.3977,Elevation,94,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877
January,,,4.81,4.87,3.84,5.76,6.88,5.13,2.04,5.03,3.38,9.54,9.82,6.41,6.8,0.15,6.58,5.07,2.25,4.5,7.51,2.31,5.3,4.41,3.23,6.93,6.82,6.37,5.86,5.91,4.19,4.51,6.6,8.17,5.81,10.6,1.83,8.54
February,,,2.94,4.06,5.29,3.87,2.18,2.51,7.78,2.62,5.12,2.59,2.54,2.87,1.08,2.57,3.99,3.27,2.46,3.57,1.86,4.25,1.2,1.51,2.62,4.39,4.97,4.49,2.67,4.74,4.35,3.39,7.76,2.93,3.53,1.84,4.37,2.36
March,,,3.81,2.4,4.15,1.05,3.28,4.36,5.04,1.48,1.15,8.65,2.1,2.05,1.84,3.36,3.01,5.26,0.8,3.4,4.38,4.17,6.61,2.25,1.79,2.63,3.52,5.01,2.35,2.88,2.89,2.25,3.86,5.67,1.7,1.45,4.44,4.05
April,,,0.85,5.09,0.8,3.46,3.16,3.09,4.85,3.34,6.97,2.53,1.02,3.79,0.66,0.87,6.81,5.37,6.24,3.99,1.5,1.01,3.05,1.72,1.24,0.84,1.56,3.73,4.13,1.87,0.19,6.38,1.83,0.44,2.04,1.37,4.22,5.1
May,,,0.95,4.39,0.16,1.58,3.09,3.39,1.52,4.37,2.73,1.92,3.23,1.53,4.37,5.35,3.41,2.36,3.78,1.55,5.33,1.03,1.82,2.13,0.37,3.04,2.77,4.06,2.1,6.38,1.91,0.14,0.55,1.92,0.7,1.8,0.14,4.04
June,,,1.11,4.67,1.67,3.75,2.42,2.38,6.06,1.05,2.37,2.43,6.34,5.19,3.06,5.13,2.7,1.99,1.9,0.54,8.3,3.35,2.77,4.29,1.71,1.27,1.94,1.48,0.69,0.18,0.29,2.15,3.42,1.93,1.82,3.22,1.82,1.82
July,,,2.49,1.93,2.2,3.48,4.14,2.96,3.81,2.66,3.19,3.95,1.78,4.41,2.01,3.09,2.17,2.95,3.91,1.18,2.7,5.7,2.86,1.83,0.77,2.66,1.97,5.69,0.41,1,1.7,6.91,2.86,3.98,1.87,4.86,1.49,3.49
August,,,2.91,5.24,3.02,4.3,2.15,1.88,7,3.23,2.82,4.49,5.26,4.33,1.42,2.19,3.96,0.85,2.46,4.67,7.09,1.57,4.12,2.54,0.85,5.25,4.35,1.19,4.43,0.37,1.73,3.03,1.32,4.71,2.84,3.21,5.36,7.12
September,,,2.52,0.65,1.97,5.86,0.83,2.75,3.07,7.2,5.16,1.2,4.1,3.59,0.7,1.38,4.44,2.43,3.09,6.1,2.9,2.91,5.02,3.96,3.33,0,10.35,2.26,4.31,4.92,1.4,4.8,3.16,2.1,6.15,4.07,6.5,2.58
October,,,1.29,8.64,4.84,1.64,7.94,6.77,4.29,3.67,3.76,5.2,8.45,7.3,3.44,6.23,3.44,5.28,3.13,5.06,2.23,2.99,8.11,5.85,1.97,8.88,2.23,4.24,5.93,2.5,5.48,5.59,6.37,3.05,7.57,8.2,5.36,3.11
November,,,10.46,5.98,8.57,6.22,5.51,3.77,5.04,4.6,5.02,2.22,13.3,5.86,2.68,1.2,1.09,2.45,3.71,4.25,2.99,6.42,1.65,3.14,5.24,5.55,2.98,2.3,5.03,3.18,2.82,1.41,6.05,4.34,4.27,4.68,5.42,8.17
December,,,3.71,1.61,3.12,5.18,2.86,6.87,7.25,7.47,5.43,3.24,8.72,1.82,2.91,3.13,4.8,1.52,6.11,6.61,8.79,3.52,4.24,4.22,4.49,4.54,4.15,3.05,8.67,3.89,3.32,5.19,8.33,0.93,5.17,0.81,11.18,3.78
Total,,,37.85,49.53,39.63,46.15,44.44,45.86,57.75,46.72,47.1,47.96,66.66,49.15,30.97,34.65,46.4,38.8,39.84,45.42,55.58,39.23,46.75,37.85,27.61,45.98,47.61,43.87,46.58,37.82,30.27,45.75,52.11,40.17,43.47,46.11,52.13,54.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1842 Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1859 Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
