"EDINBURGH W.W. (QUARTER HILL)",,,,,,,,,,,,
Grid ref,NT097235,Long,-3.430917,Lat,55.496912,,,,,,,
Station no,5072,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.84,5.84,1.60,4.85,3.80,3.33,8.00,6.90,3.60,6.80,,
February,4.43,1.46,1.82,5.84,2.20,1.88,5.50,4.50,1.30,7.00,,
March,3.28,2.38,0.63,4.85,2.70,2.50,3.80,2.00,3.30,2.20,,
April,2.96,3.98,3.25,1.05,2.00,1.00,3.10,2.00,4.60,5.60,,
May,2.58,1.79,4.50,6.05,3.90,2.70,2.50,3.30,3.50,3.20,,
June,1.94,2.78,2.63,3.00,2.00,3.30,2.20,4.00,3.40,2.90,,
July,3.65,3.00,7.56,4.04,2.20,4.00,3.20,5.10,6.00,3.30,,
August,6.28,4.60,4.55,5.50,1.70,8.20,4.70,5.00,1.00,4.00,,
September,4.89,2.43,5.10,6.53,4.60,4.30,2.50,4.90,1.50,3.20,,
October,0.63,6.00,3.52,9.40,3.60,4.00,4.30,3.40,6.00,2.70,,
November,11.09,4.00,5.85,12.40,3.00,2.00,2.50,1.70,12.00,9.50,,
December,10.12,5.10,3.56,6.40,6.05,7.20,5.60,6.50,7.00,5.30,,
Total,57.69,43.36,44.57,69.91,37.75,44.41,47.90,49.30,53.20,55.70,,
Calc annual,57.69,43.36,44.57,69.91,37.75,44.41,47.90,49.30,53.20,55.70,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
