"REDEWATER (CHATTLEHOPE)",,,,,,,,,,,,
Grid ref,NT737024,Long,-2.415928,Lat,55.314971,,,,,,,
Station no,3580/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.46,4.22,2.42,4.72,5.22,3.62,6.09,4.52,3.34,7.16,,
February,4.13,0.64,2.82,3.62,3.60,3.38,4.69,4.18,1.33,6.72,,
March,3.09,3.12,0.54,4.19,3.00,1.39,3.34,2.59,2.46,3.09,,
April,3.51,3.74,4.63,0.93,1.24,0.93,0.77,2.54,3.59,3.43,,
May,2.91,2.62,2.54,6.93,3.89,1.85,2.55,5.09,0.96,2.82,,
June,1.17,2.74,3.81,2.61,1.43,3.06,2.21,3.68,3.93,2.59,,
July,2.63,1.74,5.48,4.39,2.67,4.88,3.86,5.58,3.50,3.76,,
August,4.46,6.69,3.98,8.33,1.15,7.96,6.55,4.21,1.06,4.96,,
September,4.78,3.72,4.79,5.71,2.79,3.09,3.73,3.75,1.15,2.89,,
October,1.15,5.87,2.28,8.74,4.04,3.07,4.88,3.04,3.63,5.82,,
November,8.81,4.52,5.48,7.89,2.38,1.78,1.56,1.05,7.31,6.37,,
December,6.96,5.46,2.62,5.88,6.91,6.49,3.55,5.19,8.83,5.40,,
Total,49.06,45.08,41.39,63.94,38.32,41.50,43.78,45.42,41.09,55.01,,
Calc annual,49.06,45.08,41.39,63.94,38.32,41.50,43.78,45.42,41.09,55.01,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
