"YORK THE RETREAT",,,,,,,,,,,,
Grid ref,SE615508,Long,-1.064411,Lat,53.949654,,,,,,,
Station no,3384/2,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.47,,,,2.02,0.52,2.79,0.81,1.18,0.65,,
February,2.71,,,,2.21,0.83,1.72,1.09,1.88,0.57,,
March,0.52,,,,1.58,1.76,1.46,1.09,2.78,3.28,,
April,0.82,,,,1.62,2.21,1.16,1.35,2.04,2.30,,
May,1.01,,,,2.70,0.79,1.43,3.34,2.05,1.52,,
June,1.75,,,,0.74,3.02,1.09,3.61,0.99,2.29,,
July,1.54,,,,1.59,1.57,1.00,1.72,2.53,2.71,,
August,3.39,,,,3.33,3.73,2.05,1.85,2.20,3.09,,
September,1.02,,,,1.13,2.32,0.49,0.85,1.83,1.56,,
October,2.42,,,,0.70,1.34,4.70,4.49,0.72,2.29,,
November,2.54,,,,1.67,3.44,2.72,2.84,1.52,0.33,,
December,2.50,,,,1.50,0.23,1.67,2.89,1.55,4.53,,
Total,22.69,,,,20.79,21.76,22.28,25.93,21.27,25.12,,
Calc annual,22.69,0.00,0.00,0.00,20.79,21.76,22.28,25.93,21.27,25.12,,
Difference,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
