ERBISTOCK-RECTORY,,,,,,,,,,
Grid ref,SJ357413,Long,-2.9587848,Lat,52.96519,Elevation,92,ft.,,
Station no,4287/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.96
February,,,,,,,,,,3.17
March,,,,,,,,,1.85,1.51
April,,,,,,,,,4.38,1.16
May,,,,,,,,,2.07,1.95
June,,,,,,,,,2,1.67
July,,,,,,,,,2.37,2.99
August,,,,,,,,,0.84,4.09
September,,,,,,,,,0.27,4.77
October,,,,,,,,,2.14,4.79
November,,,,,,,,,3.48,4.89
December,,,,,,,,,5.04,2.69
Total,,,,,,,,,,38.64
,,,,,,,,,,
NGR is near the rectory. Altitudes match.,,,,,,,,,,
"MIDAS src_id 11681, ends 1971 and places gauge 100m W, which is the rectory",,,,,,,,,,
