SALCOMBE-THE-PARK-(ROCKLANDS),,,,,,,,
Grid ref,SX737385,Long,-3.77181,Lat,50.23333,Elevation,137,ft
Station no,RR7905,,,,,,,
,,,,,,,,
,1907,1908,1909,1910,,,,
January,1.41,1.58,2.32,5.22,,,,
February,1.91,2.4,0.63,6.59,,,,
March,1.23,4.08,6.18,0.92,,,,
April,5.98,2.44,1.91,1.66,,,,
May,3.68,2.13,1.13,2.48,,,,
June,2.39,0.87,3.22,1.47,,,,
July,2.07,2.29,3.12,3.22,,,,
August,1.96,3.07,2.4,4.4,,,,
September,1.7,3.2,1.65,0.24,,,,
October,9.04,2.01,7.91,7.24,,,,
November,4.7,1.59,1.45,5.56,,,,
December,7.13,7.22,6.34,7.6,,,,
Total,43.2,32.88,38.26,46.6,,,,
,,,,,,,,
Rocklands,,,,,,,,
1907 Gauge moved from Holm Leigh Unknown month but elevation changed ,,,,,,,,
1911 Removed to The Park,,,,,,,,
