EWHURST-COPSE-HILL-OBSERVER-H-SMITH,,,,,,,,,,,
Grid ref,TQ081421,Long,-0.45524426,Lat,51.167939,Elevation,600,ft.,,,
Station no,RR8436,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.56,2.65,4.13,,2.96,,,,,,
February,0.62,0.25,2.46,,0.65,,,,,,
March,2.21,1.17,2.24,,1.57,,,,,,
April,3.52,1.33,3.55,,3.8,,,,,,
May,1.24,2.02,1.11,,4.08,,,,,,
June,2.39,0.21,1.22,,3.03,,,,,,
July,5.73,0.38,5.33,,5.29,,,,,,
August,1.7,1.75,2.54,,3.27,,,,,,
September,2.94,0.97,1.97,,4.87,,,,,,
October,2.49,0.8,1.15,,4.32,,,,,,
November,1.77,2.17,2.12,,3.51,,,,,,
December,2.98,1.7,4.44,,4.4,,,,,,
Total,31.15,15.4,32.26,,41.75,,,,,,
,,,,,,,,,,,
NGR is Copse Hill. Altitudes match. NGR is consistent with long/lat on the record.,,,,,,,,,,,
The relationship to church and station are identical to the later records,,,,,,,,,,,
