HASLEMERE-JESSES-MAIN-GAUGE,,,,,,,,,,
Grid ref,SU909337,Long,-0.70329532,Lat,51.095414,Elevation,575,ft.,,
Station no,RR8506,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,3.06,5.84,1.48,7.18,0.96,,
February,,,,2.48,4.44,0.9,3.55,1.71,,
March,,,,4.11,1.66,5.23,1.77,1.15,,
April,,,,2.84,1.66,1.53,0.62,5.31,,
May,,,,3.47,3.56,0.57,2.56,2.44,,
June,,,,4.85,1.19,7.14,1.96,2.07,,
July,,,,3.59,1.32,0.81,0.53,1.47,,
August,,,,4.88,2.47,3.59,2,2.66,,
September,,,,3.66,1.82,2.55,2.09,1,,
October,,,,8.95,3.13,2.06,6.43,8.44,,
November,,,,2.01,1.64,4.79,5.5,3.12,,
December,,,,3.19,3.93,0.98,2.45,4.41,,
Total,,,,47.09,32.66,31.63,36.64,34.74,,
,,,,,,,,,,
NGR is Jesses. Altitudes match. Gauge moved to Lowder Mill at the end of 1908,,,,,,,,,,
