MANCHESTER FAIRFIELD,,,,,,,,,,
Grid ref,SJ901979,Long,-2.151,Lat,53.478,Elevation,320,ft,,
Station no,RR142,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,2.06,,,,,2.2,3.6,1.5,,
February,0.75,,,,,1.6,1.3,2.9,,
March,0.25,,,,,3.6,1.7,0.8,,
April,0.38,,,,,1.9,3,2.2,,
May,2.97,,,,,1.3,0.9,4.95,,
June,2.55,,,,,4.2,2.9,3.2,,
July,4.07,,,,,3.6,3.9,1,,
August,4.55,,,,,7.3,3.6,4,,
September,2.99,,,,,3,0.8,5.5,,
October,1.8,,,,,3.7,5.3,4.9,,
November,3.29,,,,,3,3.7,3.5,,
December,0.42,,,,,7.1,2.1,5.2,,
Total,26.08,,,,,42.5,32.8,39.65,,
,,,,,,,,,,
"This site is on the Ashton Canal network, which passes through Fairfield. The canal was later owned by the MS&L Railway Company.",,,,,,,,,,
"There is no detailed location on the rainfall sheets, the grid reference above is for Fairfield Top Lock as a possible location for the rain gauge.",,,,,,,,,,
